* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:46:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,698±0,005 ms (582 mm, 1,91 ft) Mikrofon na sredini, samo bass
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197 32.999 -46.689
2.563 23.631 113.011
2.930 37.908 63.451
3.296 42.838 30.534
3.662 45.075 1.936
4.028 45.539 -23.814
4.395 44.437 -46.950
4.761 41.674 -66.406
5.127 36.952 -77.487
5.493 31.322 -65.068
5.859 30.486 -45.888
6.226 30.485 -64.480
6.592 30.234 -112.956
6.958 32.739 -162.429
7.324 35.212 168.124
7.690 36.254 152.298
8.057 36.370 146.591
8.423 36.433 147.303
8.789 36.568 147.809
9.155 35.891 146.011
9.521 33.461 148.385
9.888 30.161 176.098
10.254 32.999 -147.026
10.620 36.678 -143.400
10.986 38.291 -150.878
11.353 38.316 -159.536
11.719 37.484 -164.987
12.085 37.025 -167.602
12.451 37.791 -175.961
12.817 39.366 164.475
13.184 41.300 138.177
13.550 43.193 111.934
13.916 44.549 89.563
14.282 45.049 72.807
14.648 44.697 63.914
15.015 44.156 65.775
15.381 44.770 74.520
15.747 46.379 78.684
16.113 47.581 76.737
16.479 47.760 74.272
16.846 47.156 78.297
17.212 47.352 92.590
17.578 49.640 104.008
17.944 52.322 103.065
18.311 54.222 94.318
18.677 55.174 82.108
19.043 55.224 68.827
19.409 54.409 56.155
19.775 52.755 45.959
20.142 50.363 41.172
20.508 47.804 46.051
20.874 46.591 59.934
21.240 47.229 70.556
21.606 48.345 72.890
21.973 49.234 70.459
22.339 49.852 66.019
22.705 50.248 60.804
23.071 50.434 55.637
23.438 50.428 51.560
23.804 50.358 49.679
24.170 50.491 50.170
24.536 51.039 51.324
24.902 51.880 50.804
25.269 52.675 47.929
25.635 53.160 43.726
26.001 53.254 39.849
26.367 53.048 37.882
26.733 52.788 38.707
27.100 52.772 41.671
27.466 53.103 44.802
27.832 53.624 46.648
28.198 54.140 47.212
28.564 54.580 47.128
28.931 54.965 46.777
29.297 55.314 46.114
29.663 55.596 45.042
30.029 55.754 43.801
30.396 55.772 43.009
30.762 55.714 43.332
31.128 55.717 44.984
31.494 55.909 47.389
31.860 56.305 49.536
32.227 56.808 50.793
32.593 57.311 51.200
32.959 57.763 51.130
33.325 58.165 50.878
33.691 58.525 50.541
34.058 58.836 50.156
34.424 59.082 49.884
34.790 59.270 50.038
35.156 59.449 50.893
35.522 59.701 52.408
35.889 60.086 54.105
36.255 60.591 55.348
36.621 61.141 55.789
36.987 61.661 55.525
37.354 62.113 54.914
37.720 62.509 54.295
38.086 62.886 53.804
38.452 63.273 53.358
38.818 63.676 52.784
39.185 64.075 51.992
39.551 64.449 51.041
39.917 64.793 50.082
40.283 65.119 49.243
40.649 65.448 48.549
41.016 65.798 47.919
41.382 66.170 47.230
41.748 66.552 46.400
42.114 66.929 45.424
42.480 67.291 44.356
42.847 67.636 43.268
43.213 67.971 42.210
43.579 68.303 41.186
43.945 68.639 40.155
44.312 68.978 39.048
44.678 69.313 37.811
45.044 69.630 36.438
45.410 69.918 34.990
45.776 70.174 33.568
46.143 70.405 32.268
46.509 70.629 31.127
46.875 70.861 30.102
47.241 71.106 29.098
47.607 71.361 28.028
47.974 71.615 26.866
48.340 71.857 25.643
48.706 72.087 24.417
49.072 72.310 23.225
49.438 72.532 22.058
49.805 72.756 20.886
50.171 72.978 19.684
50.537 73.194 18.459
50.903 73.403 17.244
51.270 73.607 16.068
51.636 73.814 14.928
52.002 74.026 13.796
52.368 74.242 12.630
52.734 74.459 11.405
53.101 74.669 10.130
53.467 74.870 8.836
53.833 75.063 7.556
54.199 75.252 6.308
54.565 75.442 5.086
54.932 75.635 3.865
55.298 75.832 2.614
55.664 76.029 1.311
56.030 76.224 -0.053
56.396 76.411 -1.476
56.763 76.590 -2.944
57.129 76.757 -4.440
57.495 76.914 -5.948
57.861 77.059 -7.449
58.228 77.195 -8.933
58.594 77.325 -10.394
58.960 77.448 -11.836
59.326 77.567 -13.266
59.692 77.681 -14.693
60.059 77.789 -16.118
60.425 77.888 -17.531
60.791 77.979 -18.919
61.157 78.064 -20.264
61.523 78.144 -21.558
61.890 78.224 -22.803
62.256 78.304 -24.014
62.622 78.387 -25.204
62.988 78.470 -26.387
63.354 78.554 -27.568
63.721 78.638 -28.752
64.087 78.721 -29.941
64.453 78.803 -31.140
64.819 78.883 -32.354
65.186 78.958 -33.581
65.552 79.028 -34.815
65.918 79.091 -36.041
66.284 79.149 -37.246
66.650 79.203 -38.427
67.017 79.255 -39.587
67.383 79.306 -40.735
67.749 79.354 -41.881
68.115 79.398 -43.024
68.481 79.437 -44.156
68.848 79.471 -45.262
69.214 79.502 -46.334
69.580 79.531 -47.371
69.946 79.561 -48.382
70.312 79.592 -49.377
70.679 79.622 -50.365
71.045 79.650 -51.344
71.411 79.677 -52.308
71.777 79.703 -53.251
72.144 79.729 -54.177
72.510 79.757 -55.097
72.876 79.786 -56.026
73.242 79.813 -56.971
73.608 79.836 -57.928
73.975 79.854 -58.882
74.341 79.865 -59.817
74.707 79.873 -60.722
75.073 79.879 -61.598
75.439 79.884 -62.452
75.806 79.887 -63.290
76.172 79.888 -64.109
76.538 79.886 -64.902
76.904 79.882 -65.659
77.271 79.879 -66.379
77.637 79.877 -67.070
78.003 79.878 -67.743
78.369 79.880 -68.407
78.735 79.883 -69.064
79.102 79.887 -69.712
79.468 79.890 -70.350
79.834 79.894 -70.981
80.200 79.898 -71.607
80.566 79.901 -72.227
80.933 79.901 -72.835
81.299 79.900 -73.417
81.665 79.899 -73.969
82.031 79.900 -74.494
82.397 79.904 -75.003
82.764 79.910 -75.509
83.130 79.917 -76.014
83.496 79.923 -76.509
83.862 79.929 -76.983
84.229 79.937 -77.431
84.595 79.949 -77.861
84.961 79.965 -78.291
85.327 79.985 -78.734
85.693 80.005 -79.193
86.060 80.025 -79.660
86.426 80.043 -80.121
86.792 80.062 -80.569
87.158 80.084 -81.009
87.524 80.108 -81.451
87.891 80.133 -81.908
88.257 80.158 -82.381
88.623 80.181 -82.863
88.989 80.202 -83.338
89.355 80.221 -83.795
89.722 80.240 -84.231
90.088 80.262 -84.652
90.454 80.287 -85.068
90.820 80.315 -85.488
91.187 80.344 -85.917
91.553 80.374 -86.354
91.919 80.404 -86.796
92.285 80.434 -87.239
92.651 80.466 -87.685
93.018 80.499 -88.138
93.384 80.533 -88.603
93.750 80.567 -89.082
94.116 80.600 -89.570
94.482 80.631 -90.060
94.849 80.663 -90.544
95.215 80.695 -91.025
95.581 80.730 -91.510
95.947 80.767 -92.012
96.313 80.803 -92.536
96.680 80.837 -93.077
97.046 80.867 -93.618
97.412 80.896 -94.145
97.778 80.926 -94.655
98.145 80.960 -95.161
98.511 80.997 -95.688
98.877 81.034 -96.249
99.243 81.068 -96.842
99.609 81.096 -97.446
99.976 81.119 -98.033
100.342 81.140 -98.587
100.708 81.164 -99.112
101.074 81.192 -99.631
101.440 81.224 -100.167
101.807 81.258 -100.736
102.173 81.290 -101.334
102.539 81.319 -101.948
102.905 81.345 -102.566
103.271 81.370 -103.184
103.638 81.395 -103.807
104.004 81.420 -104.443
104.370 81.444 -105.095
104.736 81.465 -105.762
105.103 81.483 -106.437
105.469 81.499 -107.113
105.835 81.513 -107.788
106.201 81.526 -108.464
106.567 81.537 -109.144
106.934 81.548 -109.828
107.300 81.557 -110.518
107.666 81.564 -111.211
108.032 81.570 -111.907
108.398 81.575 -112.607
108.765 81.578 -113.311
109.131 81.580 -114.023
109.497 81.580 -114.744
109.863 81.578 -115.475
110.229 81.573 -116.216
110.596 81.564 -116.964
110.962 81.552 -117.714
111.328 81.536 -118.462
111.694 81.516 -119.206
112.061 81.493 -119.945
112.427 81.467 -120.679
112.793 81.437 -121.408
113.159 81.404 -122.128
113.525 81.367 -122.835
113.892 81.326 -123.524
114.258 81.283 -124.190
114.624 81.238 -124.831
114.990 81.193 -125.448
115.356 81.148 -126.049
115.723 81.105 -126.643
116.089 81.061 -127.239
116.455 81.017 -127.839
116.821 80.969 -128.440
117.188 80.919 -129.031
117.554 80.866 -129.606
117.920 80.813 -130.164
118.286 80.759 -130.709
118.652 80.705 -131.249
119.019 80.649 -131.787
119.385 80.591 -132.320
119.751 80.531 -132.840
120.117 80.469 -133.345
120.483 80.406 -133.835
120.850 80.342 -134.319
121.216 80.277 -134.799
121.582 80.208 -135.274
121.948 80.136 -135.733
122.314 80.060 -136.165
122.681 79.983 -136.563
123.047 79.906 -136.928
123.413 79.830 -137.271
123.779 79.756 -137.603
124.146 79.683 -137.930
124.512 79.608 -138.250
124.878 79.531 -138.558
125.244 79.454 -138.844
125.610 79.376 -139.107
125.977 79.299 -139.348
126.343 79.223 -139.573
126.709 79.148 -139.789
127.075 79.074 -139.999
127.441 78.999 -140.198
127.808 78.923 -140.381
128.174 78.846 -140.544
128.540 78.771 -140.685
128.906 78.696 -140.808
129.272 78.623 -140.918
129.639 78.551 -141.018
130.005 78.479 -141.108
130.371 78.407 -141.184
130.737 78.335 -141.244
131.104 78.265 -141.288
131.470 78.195 -141.318
131.836 78.125 -141.334
132.202 78.056 -141.336
132.568 77.988 -141.320
132.935 77.922 -141.285
133.301 77.857 -141.234
133.667 77.795 -141.173
134.033 77.736 -141.106
134.399 77.677 -141.036
134.766 77.621 -140.961
135.132 77.565 -140.880
135.498 77.511 -140.794
135.864 77.459 -140.705
136.230 77.407 -140.615
136.597 77.357 -140.525
136.963 77.306 -140.430
137.329 77.256 -140.325
137.695 77.206 -140.207
138.062 77.159 -140.078
138.428 77.114 -139.943
138.794 77.071 -139.807
139.160 77.028 -139.669
139.526 76.987 -139.529
139.893 76.946 -139.382
140.259 76.907 -139.228
140.625 76.869 -139.066
140.991 76.832 -138.898
141.357 76.796 -138.724
141.724 76.763 -138.546
142.090 76.731 -138.367
142.456 76.699 -138.188
142.822 76.668 -138.007
143.188 76.638 -137.822
143.555 76.607 -137.625
143.921 76.578 -137.414
144.287 76.552 -137.193
144.653 76.529 -136.972
145.020 76.508 -136.760
145.386 76.488 -136.559
145.752 76.467 -136.362
146.118 76.445 -136.158
146.484 76.425 -135.940
146.851 76.407 -135.713
147.217 76.393 -135.490
147.583 76.381 -135.281
147.949 76.369 -135.087
148.315 76.356 -134.898
148.682 76.342 -134.700
149.048 76.328 -134.487
149.414 76.318 -134.264
149.780 76.310 -134.043
150.146 76.305 -133.833
150.513 76.300 -133.634
150.879 76.295 -133.437
151.245 76.290 -133.236
151.611 76.286 -133.028
151.978 76.284 -132.819
152.344 76.284 -132.616
152.710 76.283 -132.419
153.076 76.283 -132.220
153.442 76.282 -132.012
153.809 76.283 -131.794
154.175 76.286 -131.571
154.541 76.291 -131.351
154.907 76.299 -131.139
155.273 76.306 -130.935
155.640 76.314 -130.734
156.006 76.323 -130.533
156.372 76.333 -130.332
156.738 76.344 -130.132
157.104 76.355 -129.933
157.471 76.368 -129.734
157.837 76.383 -129.534
158.203 76.401 -129.339
158.569 76.421 -129.156
158.936 76.442 -128.994
159.302 76.463 -128.852
159.668 76.483 -128.723
160.034 76.500 -128.594
160.400 76.517 -128.456
160.767 76.534 -128.309
161.133 76.554 -128.158
161.499 76.575 -128.012
161.865 76.597 -127.870
162.231 76.619 -127.731
162.598 76.642 -127.588
162.964 76.667 -127.441
163.330 76.695 -127.295
163.696 76.725 -127.161
164.062 76.758 -127.050
164.429 76.791 -126.963
164.795 76.823 -126.893
165.161 76.853 -126.830
165.527 76.882 -126.766
165.894 76.912 -126.702
166.260 76.943 -126.642
166.626 76.975 -126.594
166.992 77.007 -126.560
167.358 77.039 -126.537
167.725 77.070 -126.521
168.091 77.101 -126.509
168.457 77.133 -126.505
168.823 77.165 -126.516
169.189 77.196 -126.544
169.556 77.226 -126.587
169.922 77.253 -126.638
