* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:46:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,698±0,005 ms (582 mm, 1,91 ft) Mikrofon na sredini, samo bass
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197 32.998 -47.950
2.563 23.636 111.545
2.930 37.909 61.777
3.296 42.839 28.648
3.662 45.076 -0.161
4.028 45.539 -26.121
4.395 44.437 -49.468
4.761 41.673 -69.134
5.127 36.952 -80.424
5.493 31.322 -68.212
5.859 30.487 -49.246
6.226 30.487 -68.052
6.592 30.236 -116.733
6.958 32.740 -166.410
7.324 35.212 163.932
7.690 36.253 147.896
8.057 36.369 141.980
8.423 36.433 142.483
8.789 36.568 142.780
9.155 35.891 140.770
9.521 33.460 142.931
9.888 30.160 170.435
10.254 32.998 -152.892
10.620 36.678 -149.477
10.986 38.291 -157.167
11.353 38.316 -166.037
11.719 37.483 -171.699
12.085 37.025 -174.524
12.451 37.791 176.909
12.817 39.366 157.137
13.184 41.300 130.631
13.550 43.194 104.179
13.916 44.550 81.598
14.282 45.049 64.632
14.648 44.697 55.529
15.015 44.156 57.180
15.381 44.770 65.716
15.747 46.379 69.670
16.113 47.581 67.514
16.479 47.760 64.838
16.846 47.156 68.653
17.212 47.351 82.736
17.578 49.640 93.946
17.944 52.322 92.793
18.311 54.222 83.836
18.677 55.174 71.416
19.043 55.224 57.926
19.409 54.409 45.044
19.775 52.755 34.638
20.142 50.363 29.642
20.508 47.804 34.312
20.874 46.591 47.985
21.240 47.229 58.397
21.606 48.345 60.521
21.973 49.234 57.881
22.339 49.852 53.232
22.705 50.248 47.807
23.071 50.434 42.431
23.438 50.428 38.144
23.804 50.358 36.053
24.170 50.491 36.334
24.536 51.038 37.279
24.902 51.880 36.549
25.269 52.674 33.465
25.635 53.160 29.052
26.001 53.254 24.964
26.367 53.048 22.787
26.733 52.788 23.403
27.100 52.772 26.158
27.466 53.103 29.079
27.832 53.624 30.716
28.198 54.140 31.070
28.564 54.580 30.776
28.931 54.965 30.216
29.297 55.314 29.344
29.663 55.596 28.061
30.029 55.754 26.611
30.396 55.772 25.609
30.762 55.714 25.723
31.128 55.717 27.166
31.494 55.909 29.361
31.860 56.305 31.299
32.227 56.808 32.345
32.593 57.311 32.543
32.959 57.763 32.263
33.325 58.165 31.801
33.691 58.525 31.255
34.058 58.836 30.660
34.424 59.082 30.179
34.790 59.270 30.122
35.156 59.449 30.768
35.522 59.701 32.073
35.889 60.086 33.560
36.255 60.591 34.594
36.621 61.141 34.826
36.987 61.661 34.352
37.354 62.113 33.531
37.720 62.509 32.703
38.086 62.886 32.002
38.452 63.273 31.346
38.818 63.676 30.563
39.185 64.075 29.561
39.551 64.449 28.401
39.917 64.793 27.232
40.283 65.119 26.183
40.649 65.448 25.280
41.016 65.798 24.440
41.382 66.170 23.541
41.748 66.552 22.502
42.114 66.929 21.316
42.480 67.291 20.038
42.847 67.636 18.741
43.213 67.971 17.473
43.579 68.303 16.239
43.945 68.639 14.999
44.312 68.978 13.682
44.678 69.313 12.235
45.044 69.630 10.653
45.410 69.918 8.995
45.776 70.174 7.364
46.143 70.405 5.854
46.509 70.629 4.503
46.875 70.861 3.268
47.241 71.106 2.055
47.607 71.361 0.776
47.974 71.615 -0.596
48.340 71.857 -2.029
48.706 72.087 -3.464
49.072 72.310 -4.866
49.438 72.532 -6.242
49.805 72.756 -7.624
50.171 72.978 -9.036
50.537 73.194 -10.470
50.903 73.403 -11.895
51.270 73.607 -13.281
51.636 73.814 -14.630
52.002 74.026 -15.972
52.368 74.242 -17.348
52.734 74.459 -18.782
53.101 74.669 -20.267
53.467 74.870 -21.771
53.833 75.063 -23.260
54.199 75.252 -24.718
54.565 75.442 -26.149
54.932 75.635 -27.580
55.298 75.832 -29.041
55.664 76.029 -30.553
56.030 76.224 -32.128
56.396 76.411 -33.760
56.763 76.590 -35.437
57.129 76.757 -37.143
57.495 76.914 -38.860
57.861 77.059 -40.571
58.228 77.195 -42.265
58.594 77.325 -43.936
58.960 77.448 -45.587
59.326 77.567 -47.227
59.692 77.681 -48.864
60.059 77.789 -50.498
60.425 77.888 -52.121
60.791 77.979 -53.718
61.157 78.064 -55.273
61.523 78.144 -56.776
61.890 78.224 -58.232
62.256 78.304 -59.652
62.622 78.387 -61.052
62.988 78.470 -62.444
63.354 78.554 -63.835
63.721 78.638 -65.228
64.087 78.721 -66.627
64.453 78.803 -68.036
64.819 78.883 -69.459
65.186 78.958 -70.896
65.552 79.028 -72.339
65.918 79.091 -73.775
66.284 79.149 -75.190
66.650 79.203 -76.581
67.017 79.255 -77.950
67.383 79.306 -79.308
67.749 79.354 -80.664
68.115 79.398 -82.016
68.481 79.437 -83.357
68.848 79.471 -84.673
69.214 79.502 -85.955
69.580 79.531 -87.201
69.946 79.561 -88.422
70.312 79.592 -89.627
70.679 79.622 -90.825
71.045 79.650 -92.013
71.411 79.677 -93.186
71.777 79.703 -94.339
72.144 79.729 -95.475
72.510 79.757 -96.605
72.876 79.786 -97.744
73.242 79.813 -98.898
73.608 79.836 -100.065
73.975 79.854 -101.229
74.341 79.865 -102.373
74.707 79.873 -103.488
75.073 79.879 -104.573
75.439 79.884 -105.637
75.806 79.887 -106.684
76.172 79.888 -107.713
76.538 79.886 -108.715
76.904 79.882 -109.682
77.271 79.879 -110.612
77.637 79.877 -111.513
78.003 79.878 -112.395
78.369 79.880 -113.269
78.735 79.883 -114.135
79.102 79.887 -114.993
79.468 79.890 -115.841
79.834 79.894 -116.681
80.200 79.898 -117.517
80.566 79.901 -118.347
80.933 79.901 -119.164
81.299 79.900 -119.956
81.665 79.899 -120.718
82.031 79.900 -121.452
82.397 79.904 -122.171
82.764 79.910 -122.887
83.130 79.917 -123.601
83.496 79.923 -124.306
83.862 79.929 -124.989
84.229 79.937 -125.647
84.595 79.949 -126.287
84.961 79.965 -126.926
85.327 79.985 -127.579
85.693 80.005 -128.248
86.060 80.025 -128.924
86.426 80.043 -129.595
86.792 80.062 -130.253
87.158 80.084 -130.902
87.524 80.108 -131.554
87.891 80.133 -132.220
88.257 80.158 -132.903
88.623 80.181 -133.594
88.989 80.202 -134.279
89.355 80.221 -134.946
89.722 80.240 -135.592
90.088 80.262 -136.222
90.454 80.287 -136.848
90.820 80.315 -137.477
91.187 80.344 -138.116
91.553 80.374 -138.763
91.919 80.404 -139.414
92.285 80.434 -140.067
92.651 80.466 -140.723
93.018 80.499 -141.386
93.384 80.533 -142.060
93.750 80.567 -142.749
94.116 80.600 -143.446
94.482 80.631 -144.145
94.849 80.663 -144.840
95.215 80.695 -145.530
95.581 80.730 -146.224
95.947 80.767 -146.936
96.313 80.803 -147.670
96.680 80.837 -148.421
97.046 80.867 -149.172
97.412 80.896 -149.908
97.778 80.926 -150.627
98.145 80.960 -151.344
98.511 80.997 -152.079
98.877 81.034 -152.850
99.243 81.068 -153.653
99.609 81.096 -154.467
99.976 81.119 -155.264
100.342 81.140 -156.027
100.708 81.164 -156.762
101.074 81.192 -157.490
101.440 81.224 -158.236
101.807 81.258 -159.014
102.173 81.290 -159.822
102.539 81.319 -160.646
102.905 81.345 -161.474
103.271 81.370 -162.301
103.638 81.395 -163.133
104.004 81.420 -163.979
104.370 81.444 -164.841
104.736 81.465 -165.718
105.103 81.483 -166.602
105.469 81.499 -167.488
105.835 81.513 -168.373
106.201 81.526 -169.258
106.567 81.537 -170.148
106.934 81.548 -171.042
107.300 81.557 -171.941
107.666 81.564 -172.843
108.032 81.570 -173.749
108.398 81.575 -174.659
108.765 81.578 -175.573
109.131 81.580 -176.494
109.497 81.580 -177.425
109.863 81.578 -178.366
110.229 81.573 -179.316
110.596 81.564 179.727
110.962 81.552 178.767
111.328 81.536 177.809
111.694 81.516 176.855
112.061 81.493 175.907
112.427 81.467 174.963
112.793 81.437 174.025
113.159 81.404 173.095
113.525 81.367 172.178
113.892 81.326 171.279
114.258 81.283 170.403
114.624 81.238 169.553
114.990 81.193 168.727
115.356 81.148 167.916
115.723 81.105 167.112
116.089 81.061 166.307
116.455 81.017 165.497
116.821 80.969 164.687
117.188 80.919 163.886
117.554 80.866 163.101
117.920 80.813 162.334
118.286 80.759 161.579
118.652 80.705 160.829
119.019 80.649 160.082
119.385 80.591 159.340
119.751 80.531 158.609
120.117 80.469 157.895
120.483 80.406 157.195
120.850 80.342 156.502
121.216 80.277 155.812
121.582 80.208 155.128
121.948 80.136 154.458
122.314 80.060 153.817
122.681 79.983 153.210
123.047 79.906 152.635
123.413 79.830 152.082
123.779 79.756 151.541
124.146 79.683 151.004
124.512 79.608 150.474
124.878 79.531 149.957
125.244 79.454 149.461
125.610 79.376 148.988
125.977 79.299 148.538
126.343 79.223 148.103
126.709 79.148 147.677
127.075 79.074 147.258
127.441 78.999 146.849
127.808 78.923 146.456
128.174 78.846 146.084
128.540 78.771 145.733
128.906 78.696 145.401
129.272 78.623 145.081
129.639 78.551 144.771
130.005 78.479 144.472
130.371 78.407 144.186
130.737 78.335 143.917
131.104 78.265 143.663
131.470 78.195 143.423
131.836 78.125 143.197
132.202 78.056 142.986
132.568 77.988 142.792
132.935 77.922 142.617
133.301 77.857 142.459
133.667 77.795 142.311
134.033 77.736 142.168
134.399 77.677 142.029
134.766 77.621 141.894
135.132 77.565 141.765
135.498 77.511 141.642
135.864 77.459 141.521
136.230 77.407 141.401
136.597 77.357 141.281
136.963 77.306 141.166
137.329 77.256 141.062
137.695 77.206 140.971
138.062 77.159 140.890
138.428 77.114 140.815
138.794 77.071 140.742
139.160 77.028 140.670
139.526 76.987 140.600
139.893 76.946 140.537
140.259 76.907 140.482
140.625 76.869 140.434
140.991 76.832 140.393
141.357 76.796 140.357
141.724 76.763 140.326
142.090 76.731 140.295
142.456 76.699 140.265
142.822 76.668 140.235
143.188 76.638 140.211
143.555 76.607 140.198
143.921 76.578 140.200
144.287 76.552 140.211
144.653 76.529 140.222
145.020 76.508 140.224
145.386 76.488 140.216
145.752 76.467 140.203
146.118 76.445 140.198
146.484 76.425 140.206
146.851 76.407 140.223
147.217 76.393 140.237
147.583 76.381 140.236
147.949 76.369 140.220
148.315 76.356 140.200
148.682 76.342 140.188
149.048 76.328 140.192
149.414 76.318 140.205
149.780 76.310 140.217
150.146 76.305 140.217
150.513 76.300 140.206
150.879 76.295 140.193
151.245 76.290 140.185
151.611 76.286 140.184
151.978 76.284 140.182
152.344 76.284 140.176
152.710 76.283 140.164
153.076 76.283 140.153
153.442 76.282 140.151
153.809 76.283 140.159
154.175 76.286 140.173
154.541 76.291 140.183
154.907 76.299 140.185
155.273 76.306 140.180
155.640 76.314 140.171
156.006 76.323 140.163
156.372 76.333 140.154
156.738 76.344 140.144
157.104 76.355 140.133
157.471 76.368 140.123
157.837 76.383 140.113
158.203 76.401 140.099
158.569 76.421 140.072
158.936 76.442 140.024
159.302 76.463 139.956
159.668 76.483 139.876
160.034 76.500 139.796
160.400 76.517 139.724
160.767 76.534 139.662
161.133 76.554 139.602
161.499 76.575 139.539
161.865 76.597 139.471
162.231 76.619 139.401
162.598 76.642 139.334
162.964 76.667 139.272
163.330 76.695 139.208
163.696 76.725 139.132
164.062 76.758 139.033
164.429 76.791 138.911
164.795 76.823 138.771
165.161 76.853 138.625
165.527 76.882 138.479
165.894 76.912 138.334
166.260 76.943 138.184
166.626 76.975 138.022
166.992 77.007 137.847
167.358 77.039 137.660
167.725 77.070 137.467
168.091 77.101 137.269
168.457 77.133 137.063
168.823 77.165 136.843
169.189 77.196 136.605
169.556 77.226 136.352
169.922 77.253 136.092
170.288 77.279 135.831
170.654 77.303 135.575
171.021 77.327 135.320
171.387 77.351 135.063
171.753 77.375 134.797
172.119 77.399 134.521
172.485 77.420 134.237
172.852 77.439 133.950
173.218 77.455 133.668
173.584 77.470 133.399
173.950 77.485 133.144
