* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:19:21
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca bass
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
2.197 3.214 8.008
2.563 3.229 9.363
2.930 3.248 10.715
3.296 3.270 12.050
3.662 3.296 13.347
4.028 3.325 14.591
4.395 3.355 15.788
4.761 3.386 16.962
5.127 3.417 18.143
5.493 3.451 19.339
5.859 3.489 20.539
6.226 3.532 21.713
6.592 3.578 22.842
6.958 3.626 23.927
7.324 3.676 24.989
7.690 3.726 26.052
8.057 3.780 27.124
8.423 3.838 28.197
8.789 3.900 29.255
9.155 3.967 30.286
9.521 4.037 31.291
9.888 4.110 32.274
10.254 4.188 33.239
10.620 4.269 34.186
10.986 4.354 35.117
11.353 4.445 36.031
11.719 4.542 36.921
12.085 4.645 37.776
12.451 4.753 38.587
12.817 4.867 39.357
13.184 4.985 40.103
13.550 5.110 40.838
13.916 5.245 41.556
14.282 5.391 42.226
14.648 5.549 42.815
15.015 5.714 43.315
15.381 5.884 43.756
15.747 6.060 44.186
16.113 6.249 44.626
16.479 6.458 45.045
16.846 6.690 45.371
17.212 6.942 45.544
17.578 7.204 45.556
17.944 7.473 45.463
18.311 7.748 45.337
18.677 8.039 45.215
19.043 8.359 45.067
19.409 8.716 44.809
19.775 9.108 44.358
20.142 9.526 43.673
20.508 9.961 42.769
20.874 10.407 41.688
21.240 10.870 40.459
21.606 11.353 39.076
21.973 11.863 37.494
22.339 12.396 35.658
22.705 12.940 33.527
23.071 13.479 31.094
23.438 13.996 28.377
23.804 14.475 25.403
24.170 14.904 22.199
24.536 15.269 18.786
24.902 15.552 15.190
25.269 15.735 11.453
25.635 15.803 7.647
26.001 15.750 3.861
26.367 15.583 0.193
26.733 15.321 -3.281
27.100 14.988 -6.518
27.466 14.607 -9.517
27.832 14.192 -12.295
28.198 13.748 -14.865
28.564 13.278 -17.214
28.931 12.790 -19.302
29.297 12.297 -21.089
29.663 11.817 -22.565
30.029 11.365 -23.766
30.396 10.948 -24.764
30.762 10.560 -25.625
31.128 10.193 -26.382
31.494 9.839 -27.020
31.860 9.500 -27.509
32.227 9.179 -27.835
32.593 8.883 -28.024
32.959 8.612 -28.124
33.325 8.360 -28.177
33.691 8.122 -28.191
34.058 7.892 -28.141
34.424 7.672 -27.997
34.790 7.466 -27.749
35.156 7.276 -27.418
35.522 7.102 -27.037
35.889 6.942 -26.633
36.255 6.791 -26.208
36.621 6.648 -25.750
36.987 6.513 -25.245
37.354 6.386 -24.692
37.720 6.268 -24.099
38.086 6.159 -23.481
38.452 6.057 -22.844
38.818 5.961 -22.188
39.185 5.870 -21.507
39.551 5.785 -20.796
39.917 5.704 -20.055
40.283 5.630 -19.288
40.649 5.561 -18.501
41.016 5.497 -17.699
41.382 5.439 -16.886
41.748 5.384 -16.064
42.114 5.332 -15.228
42.480 5.285 -14.376
42.847 5.241 -13.506
43.213 5.202 -12.620
43.579 5.167 -11.726
43.945 5.137 -10.832
44.312 5.109 -9.941
44.678 5.085 -9.048
45.044 5.062 -8.142
45.410 5.043 -7.214
45.776 5.028 -6.267
46.143 5.019 -5.310
46.509 5.014 -4.361
46.875 5.013 -3.429
47.241 5.014 -2.510
47.607 5.017 -1.589
47.974 5.023 -0.654
48.340 5.032 0.300
48.706 5.047 1.262
49.072 5.066 2.216
49.438 5.091 3.147
49.805 5.118 4.054
50.171 5.148 4.946
50.537 5.180 5.836
50.903 5.216 6.730
51.270 5.256 7.625
51.636 5.302 8.510
52.002 5.352 9.373
52.368 5.406 10.211
52.734 5.464 11.030
53.101 5.525 11.840
53.467 5.590 12.645
53.833 5.661 13.440
54.199 5.739 14.214
54.565 5.822 14.955
54.932 5.911 15.661
55.298 6.004 16.340
55.664 6.101 17.001
56.030 6.204 17.650
56.396 6.315 18.277
56.763 6.434 18.870
57.129 6.561 19.417
57.495 6.694 19.918
57.861 6.832 20.382
58.228 6.978 20.817
58.594 7.132 21.226
58.960 7.296 21.599
59.326 7.472 21.923
59.692 7.657 22.188
60.059 7.853 22.391
60.425 8.060 22.532
60.791 8.277 22.613
61.157 8.506 22.632
61.523 8.748 22.580
61.890 9.003 22.450
62.256 9.272 22.231
62.622 9.553 21.919
62.988 9.848 21.509
63.354 10.154 21.000
63.721 10.473 20.390
64.087 10.804 19.675
64.453 11.147 18.847
64.819 11.503 17.894
65.186 11.868 16.803
65.552 12.240 15.563
65.918 12.613 14.174
66.284 12.981 12.640
66.650 13.340 10.975
67.017 13.686 9.187
67.383 14.018 7.283
67.749 14.330 5.264
68.115 14.618 3.129
68.481 14.875 0.886
68.848 15.093 -1.451
69.214 15.266 -3.859
69.580 15.390 -6.311
69.946 15.463 -8.782
70.312 15.487 -11.249
70.679 15.462 -13.692
71.045 15.391 -16.094
71.411 15.276 -18.438
71.777 15.121 -20.707
72.144 14.931 -22.885
72.510 14.711 -24.960
72.876 14.468 -26.926
73.242 14.206 -28.778
73.608 13.931 -30.517
73.975 13.647 -32.143
74.341 13.357 -33.656
74.707 13.065 -35.059
75.073 12.772 -36.354
75.439 12.483 -37.545
75.806 12.198 -38.637
76.172 11.920 -39.639
76.538 11.648 -40.556
76.904 11.385 -41.395
77.271 11.129 -42.161
77.637 10.881 -42.855
78.003 10.642 -43.481
78.369 10.411 -44.042
78.735 10.190 -44.543
79.102 9.978 -44.993
79.468 9.775 -45.399
79.834 9.580 -45.766
80.200 9.393 -46.095
80.566 9.211 -46.386
80.933 9.037 -46.637
81.299 8.869 -46.848
81.665 8.708 -47.023
82.031 8.555 -47.168
82.397 8.409 -47.291
82.764 8.269 -47.396
83.130 8.134 -47.483
83.496 8.003 -47.549
83.862 7.877 -47.592
84.229 7.756 -47.613
84.595 7.639 -47.613
84.961 7.528 -47.599
85.327 7.421 -47.573
85.693 7.318 -47.535
86.060 7.218 -47.485
86.426 7.122 -47.419
86.792 7.030 -47.340
87.158 6.941 -47.249
87.524 6.856 -47.151
87.891 6.774 -47.049
88.257 6.694 -46.943
88.623 6.617 -46.831
88.989 6.542 -46.709
89.355 6.469 -46.575
89.722 6.398 -46.432
90.088 6.331 -46.283
90.454 6.266 -46.131
90.820 6.203 -45.977
