* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:25:28
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca skupaj
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
2.197 1.926 4.927
2.563 1.933 5.724
2.930 1.942 6.515
3.296 1.953 7.286
3.662 1.965 8.025
4.028 1.977 8.731
4.395 1.990 9.417
4.761 2.004 10.099
5.127 2.018 10.786
5.493 2.034 11.466
5.859 2.051 12.119
6.226 2.070 12.725
6.592 2.089 13.286
6.958 2.108 13.825
7.324 2.126 14.369
7.690 2.146 14.932
8.057 2.168 15.501
8.423 2.192 16.045
8.789 2.218 16.536
9.155 2.245 16.967
9.521 2.273 17.353
9.888 2.300 17.721
10.254 2.328 18.087
10.620 2.357 18.450
10.986 2.388 18.792
11.353 2.421 19.097
11.719 2.455 19.355
12.085 2.490 19.572
12.451 2.526 19.757
12.817 2.562 19.915
13.184 2.599 20.045
13.550 2.637 20.143
13.916 2.676 20.205
14.282 2.715 20.232
14.648 2.756 20.223
15.015 2.797 20.179
15.381 2.838 20.095
15.747 2.881 19.966
16.113 2.923 19.794
16.479 2.965 19.587
16.846 3.006 19.355
17.212 3.049 19.105
17.578 3.092 18.832
17.944 3.138 18.514
18.311 3.185 18.125
18.677 3.232 17.647
19.043 3.278 17.077
19.409 3.321 16.435
19.775 3.359 15.752
20.142 3.394 15.058
20.508 3.425 14.372
20.874 3.455 13.696
21.240 3.485 13.017
21.606 3.514 12.319
21.973 3.542 11.589
22.339 3.569 10.819
22.705 3.594 10.012
23.071 3.615 9.174
23.438 3.633 8.316
23.804 3.648 7.448
24.170 3.660 6.575
24.536 3.668 5.695
24.902 3.673 4.808
25.269 3.675 3.917
25.635 3.672 3.033
26.001 3.665 2.177
26.367 3.656 1.361
26.733 3.645 0.585
27.100 3.634 -0.176
27.466 3.622 -0.953
27.832 3.607 -1.761
28.198 3.587 -2.584
28.564 3.560 -3.375
28.931 3.527 -4.078
29.297 3.493 -4.666
29.663 3.460 -5.153
30.029 3.430 -5.590
30.396 3.402 -6.027
30.762 3.374 -6.481
31.128 3.343 -6.929
31.494 3.309 -7.330
31.860 3.275 -7.664
32.227 3.242 -7.941
32.593 3.211 -8.196
32.959 3.180 -8.454
33.325 3.148 -8.709
33.691 3.114 -8.929
34.058 3.078 -9.083
34.424 3.044 -9.166
34.790 3.013 -9.201
35.156 2.984 -9.223
35.522 2.955 -9.249
35.889 2.927 -9.270
36.255 2.898 -9.263
36.621 2.869 -9.209
36.987 2.841 -9.112
37.354 2.815 -8.987
37.720 2.790 -8.848
38.086 2.766 -8.699
38.452 2.742 -8.531
38.818 2.719 -8.332
39.185 2.697 -8.102
39.551 2.676 -7.845
39.917 2.656 -7.571
40.283 2.637 -7.283
40.649 2.619 -6.983
41.016 2.602 -6.666
41.382 2.586 -6.332
41.748 2.571 -5.981
42.114 2.557 -5.614
42.480 2.543 -5.235
42.847 2.531 -4.848
43.213 2.520 -4.456
43.579 2.510 -4.059
43.945 2.500 -3.655
44.312 2.491 -3.239
44.678 2.483 -2.807
45.044 2.475 -2.360
45.410 2.469 -1.900
45.776 2.463 -1.426
46.143 2.459 -0.938
46.509 2.456 -0.436
46.875 2.455 0.070
47.241 2.455 0.567
47.607 2.458 1.038
47.974 2.460 1.481
48.340 2.463 1.909
48.706 2.465 2.343
49.072 2.467 2.800
49.438 2.471 3.279
49.805 2.476 3.763
50.171 2.484 4.230
50.537 2.493 4.668
50.903 2.502 5.084
51.270 2.511 5.494
51.636 2.520 5.914
52.002 2.531 6.346
52.368 2.544 6.776
52.734 2.559 7.184
53.101 2.575 7.557
53.467 2.592 7.892
53.833 2.610 8.201
54.199 2.627 8.501
54.565 2.644 8.802
54.932 2.663 9.106
55.298 2.683 9.403
55.664 2.705 9.680
56.030 2.728 9.925
56.396 2.752 10.136
56.763 2.776 10.321
57.129 2.800 10.488
57.495 2.825 10.645
57.861 2.850 10.790
58.228 2.877 10.916
58.594 2.905 11.014
58.960 2.933 11.081
59.326 2.962 11.119
59.692 2.991 11.129
60.059 3.021 11.111
60.425 3.051 11.065
60.791 3.081 10.990
61.157 3.111 10.888
61.523 3.140 10.765
61.890 3.170 10.626
62.256 3.201 10.468
62.622 3.232 10.285
62.988 3.263 10.068
63.354 3.294 9.813
63.721 3.325 9.522
64.087 3.355 9.204
64.453 3.383 8.867
64.819 3.411 8.516
65.186 3.439 8.147
65.552 3.467 7.756
65.918 3.493 7.338
66.284 3.519 6.892
66.650 3.543 6.422
67.017 3.566 5.936
67.383 3.586 5.440
67.749 3.605 4.938
68.115 3.623 4.431
68.481 3.640 3.917
68.848 3.656 3.393
69.214 3.671 2.855
69.580 3.684 2.304
69.946 3.696 1.744
70.312 3.705 1.179
70.679 3.713 0.615
71.045 3.719 0.058
71.411 3.723 -0.494
71.777 3.726 -1.040
72.144 3.729 -1.583
72.510 3.730 -2.127
72.876 3.729 -2.671
73.242 3.727 -3.213
73.608 3.724 -3.748
73.975 3.719 -4.270
74.341 3.712 -4.775
74.707 3.705 -5.265
75.073 3.697 -5.742
75.439 3.688 -6.213
75.806 3.679 -6.679
76.172 3.668 -7.139
76.538 3.657 -7.590
76.904 3.644 -8.026
77.271 3.631 -8.447
77.637 3.617 -8.853
78.003 3.602 -9.246
78.369 3.587 -9.628
78.735 3.572 -10.000
79.102 3.556 -10.360
79.468 3.540 -10.707
79.834 3.524 -11.039
80.200 3.507 -11.357
80.566 3.490 -11.662
80.933 3.474 -11.955
81.299 3.457 -12.241
81.665 3.440 -12.519
82.031 3.423 -12.791
82.397 3.406 -13.051
82.764 3.388 -13.297
83.130 3.371 -13.527
83.496 3.353 -13.740
83.862 3.336 -13.943
84.229 3.319 -14.137
84.595 3.302 -14.327
84.961 3.286 -14.509
85.327 3.269 -14.684
85.693 3.252 -14.849
86.060 3.235 -15.006
86.426 3.219 -15.156
86.792 3.202 -15.297
87.158 3.185 -15.428
87.524 3.169 -15.547
87.891 3.153 -15.657
88.257 3.137 -15.762
88.623 3.121 -15.863
88.989 3.106 -15.961
89.355 3.090 -16.052
89.722 3.075 -16.134
90.088 3.060 -16.205
90.454 3.045 -16.270
90.820 3.031 -16.333
91.187 3.017 -16.395
