* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:22:02
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca tweeter
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
2.197 4.783 0.139
2.563 4.783 0.170
2.930 4.782 0.204
3.296 4.782 0.239
3.662 4.782 0.274
4.028 4.782 0.308
4.395 4.782 0.340
4.761 4.783 0.370
5.127 4.783 0.400
5.493 4.783 0.430
5.859 4.783 0.460
6.226 4.783 0.491
6.592 4.783 0.521
6.958 4.784 0.551
7.324 4.784 0.581
7.690 4.784 0.611
8.057 4.784 0.641
8.423 4.785 0.671
8.789 4.785 0.700
9.155 4.786 0.728
9.521 4.786 0.755
9.888 4.786 0.781
10.254 4.786 0.809
10.620 4.787 0.837
10.986 4.787 0.865
11.353 4.787 0.893
11.719 4.787 0.920
12.085 4.788 0.947
12.451 4.788 0.974
12.817 4.788 1.002
13.184 4.788 1.029
13.550 4.789 1.057
13.916 4.789 1.084
14.282 4.789 1.111
14.648 4.789 1.138
15.015 4.790 1.164
15.381 4.790 1.191
15.747 4.790 1.219
16.113 4.790 1.246
16.479 4.791 1.273
16.846 4.791 1.299
17.212 4.791 1.324
17.578 4.792 1.349
17.944 4.792 1.375
18.311 4.792 1.401
18.677 4.792 1.429
19.043 4.792 1.456
19.409 4.793 1.483
19.775 4.793 1.510
20.142 4.793 1.536
20.508 4.794 1.562
20.874 4.794 1.588
21.240 4.794 1.615
21.606 4.794 1.643
21.973 4.795 1.670
22.339 4.795 1.697
22.705 4.795 1.723
23.071 4.796 1.749
23.438 4.796 1.775
23.804 4.796 1.801
24.170 4.796 1.827
24.536 4.797 1.853
24.902 4.797 1.879
25.269 4.797 1.906
25.635 4.797 1.932
26.001 4.798 1.959
26.367 4.798 1.986
26.733 4.798 2.013
27.100 4.798 2.040
27.466 4.799 2.067
27.832 4.799 2.093
28.198 4.799 2.119
28.564 4.800 2.145
28.931 4.800 2.170
29.297 4.800 2.195
29.663 4.801 2.220
30.029 4.801 2.246
30.396 4.801 2.272
30.762 4.801 2.299
31.128 4.802 2.326
31.494 4.802 2.352
31.860 4.802 2.378
32.227 4.803 2.404
32.593 4.803 2.429
32.959 4.803 2.454
33.325 4.804 2.479
33.691 4.804 2.505
34.058 4.804 2.531
34.424 4.805 2.558
34.790 4.805 2.585
35.156 4.805 2.612
35.522 4.805 2.638
35.889 4.806 2.665
36.255 4.806 2.691
36.621 4.807 2.717
36.987 4.807 2.743
37.354 4.807 2.768
37.720 4.808 2.794
38.086 4.808 2.819
38.452 4.808 2.844
38.818 4.809 2.870
39.185 4.809 2.895
39.551 4.809 2.922
39.917 4.810 2.948
40.283 4.810 2.974
40.649 4.810 3.000
41.016 4.811 3.025
41.382 4.811 3.050
41.748 4.811 3.076
42.114 4.812 3.102
42.480 4.812 3.128
42.847 4.813 3.153
43.213 4.813 3.177
43.579 4.813 3.202
43.945 4.814 3.227
44.312 4.814 3.253
44.678 4.814 3.280
45.044 4.815 3.307
45.410 4.815 3.333
45.776 4.816 3.359
46.143 4.816 3.384
46.509 4.816 3.410
46.875 4.817 3.436
47.241 4.817 3.461
47.607 4.818 3.487
47.974 4.818 3.512
48.340 4.818 3.536
48.706 4.819 3.561
49.072 4.819 3.587
49.438 4.819 3.614
49.805 4.820 3.640
50.171 4.820 3.666
50.537 4.821 3.691
50.903 4.821 3.715
51.270 4.822 3.740
51.636 4.822 3.765
52.002 4.822 3.791
52.368 4.823 3.818
52.734 4.823 3.844
53.101 4.824 3.869
53.467 4.824 3.893
53.833 4.825 3.917
54.199 4.825 3.942
54.565 4.825 3.967
54.932 4.826 3.993
55.298 4.826 4.020
55.664 4.827 4.046
56.030 4.827 4.071
56.396 4.828 4.096
56.763 4.828 4.120
57.129 4.829 4.144
57.495 4.829 4.170
57.861 4.829 4.195
58.228 4.830 4.222
58.594 4.830 4.248
58.960 4.831 4.275
59.326 4.831 4.300
59.692 4.832 4.325
60.059 4.832 4.349
60.425 4.833 4.372
60.791 4.833 4.397
61.157 4.834 4.422
61.523 4.834 4.448
61.890 4.835 4.474
62.256 4.835 4.500
62.622 4.836 4.524
62.988 4.836 4.548
63.354 4.837 4.571
63.721 4.837 4.596
64.087 4.838 4.621
64.453 4.838 4.646
64.819 4.838 4.672
65.186 4.839 4.697
65.552 4.840 4.722
65.918 4.840 4.747
66.284 4.840 4.772
66.650 4.841 4.798
67.017 4.842 4.823
67.383 4.842 4.847
67.749 4.842 4.872
68.115 4.843 4.897
68.481 4.843 4.923
68.848 4.844 4.949
69.214 4.845 4.975
69.580 4.845 5.000
69.946 4.846 5.023
70.312 4.846 5.046
70.679 4.847 5.069
71.045 4.847 5.094
71.411 4.848 5.119
71.777 4.848 5.145
72.144 4.849 5.170
72.510 4.849 5.195
72.876 4.850 5.219
73.242 4.850 5.243
73.608 4.851 5.268
73.975 4.851 5.294
74.341 4.852 5.319
74.707 4.852 5.344
75.073 4.853 5.369
75.439 4.853 5.393
75.806 4.854 5.417
76.172 4.855 5.442
76.538 4.855 5.467
76.904 4.856 5.491
77.271 4.856 5.516
77.637 4.857 5.540
78.003 4.857 5.564
78.369 4.858 5.588
78.735 4.858 5.611
79.102 4.859 5.636
79.468 4.859 5.661
79.834 4.860 5.686
80.200 4.861 5.711
80.566 4.861 5.736
80.933 4.862 5.760
81.299 4.862 5.785
81.665 4.863 5.809
82.031 4.864 5.834
82.397 4.864 5.858
82.764 4.865 5.882
83.130 4.865 5.906
83.496 4.866 5.930
83.862 4.867 5.954
84.229 4.867 5.979
84.595 4.868 6.004
84.961 4.868 6.028
85.327 4.869 6.052
85.693 4.870 6.075
86.060 4.870 6.099
86.426 4.871 6.124
86.792 4.871 6.148
87.158 4.872 6.173
87.524 4.873 6.197
87.891 4.873 6.222
88.257 4.874 6.246
88.623 4.874 6.270
88.989 4.875 6.295
89.355 4.876 6.319
89.722 4.876 6.342
90.088 4.877 6.366
90.454 4.878 6.389
90.820 4.878 6.413
91.187 4.879 6.438
91.553 4.879 6.463
91.919 4.880 6.488
92.285 4.881 6.513
92.651 4.881 6.537
93.018 4.882 6.561
93.384 4.883 6.584
93.750 4.883 6.607
94.116 4.884 6.629
94.482 4.885 6.652
