* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -8,0 dBFS, at 96000 Hz
* Dated: 4.10.2019 13:27:35
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: ; 
* Measurement: nov imp bass
* Smoothing: 1/12 octave
* Frequency Step: 0.36621094 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
9.888 14.541 31.786
10.254 14.663 32.140
10.620 14.972 33.032
10.986 15.306 33.927
11.353 15.643 34.726
11.719 15.997 35.479
12.085 16.372 36.203
12.451 16.770 36.886
12.817 17.192 37.521
13.184 17.637 38.104
13.550 18.107 38.634
13.916 18.602 39.110
14.282 19.126 39.528
14.648 19.679 39.882
15.015 20.261 40.164
15.381 20.870 40.368
15.747 21.506 40.498
16.113 22.171 40.559
16.479 22.870 40.550
16.846 23.607 40.463
17.212 24.382 40.280
17.578 25.188 39.987
17.944 26.020 39.579
18.311 26.871 39.057
18.677 27.739 38.429
19.043 28.625 37.699
19.409 29.528 36.863
19.775 30.440 35.913
20.142 31.352 34.840
20.508 32.250 33.641
20.874 33.121 32.319
21.240 33.956 30.884
21.606 34.744 29.344
21.973 35.478 27.710
22.339 36.146 25.989
22.705 36.739 24.194
23.071 37.250 22.338
23.438 37.674 20.440
23.804 38.008 18.517
24.170 38.254 16.585
24.536 38.411 14.659
24.902 38.480 12.751
25.269 38.464 10.875
25.635 38.365 9.047
26.001 38.189 7.281
26.367 37.943 5.588
26.733 37.635 3.977
27.100 37.275 2.452
27.466 36.869 1.014
27.832 36.424 -0.333
28.198 35.946 -1.587
28.564 35.441 -2.746
28.931 34.915 -3.807
29.297 34.376 -4.772
29.663 33.829 -5.644
30.029 33.282 -6.430
30.396 32.738 -7.134
30.762 32.202 -7.762
31.128 31.675 -8.318
31.494 31.158 -8.807
31.860 30.653 -9.231
32.227 30.162 -9.594
32.593 29.685 -9.900
