* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:51:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,542±0,005 ms (529 mm, 1,73 ft) Mikroofn na sredini, bass + visoko tonec
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197 38.068 -56.296
2.563 39.794 -71.778
2.930 40.189 -85.567
3.296 39.493 -97.340
3.662 37.855 -106.221
4.028 35.451 -111.190
4.395 32.501 -112.068
4.761 28.916 -110.134
5.127 23.535 -102.658
5.493 16.963 -46.725
5.859 23.326 -4.935
6.226 27.074 -15.293
6.592 28.517 -40.768
6.958 29.409 -77.048
7.324 31.089 -116.518
7.690 33.211 -149.812
8.057 34.826 -176.162
8.423 35.543 161.766
8.789 35.241 141.936
9.155 33.765 123.043
9.521 30.688 104.020
9.888 24.524 82.868
10.254 4.310 -37.650
10.620 23.562 -124.863
10.986 28.227 -148.403
11.353 30.556 -170.829
11.719 32.338 167.871
12.085 34.282 148.928
12.451 36.496 132.418
12.817 38.691 117.253
13.184 40.472 102.680
13.550 41.502 89.020
13.916 41.521 77.952
14.282 40.410 73.817
14.648 39.096 85.267
15.015 40.693 105.496
15.381 43.957 109.572
15.747 46.253 101.551
16.113 47.124 89.089
16.479 46.425 76.596
16.846 43.730 70.504
17.212 39.703 94.204
17.578 43.403 133.210
17.944 48.319 131.686
18.311 51.230 117.744
18.677 52.750 100.436
19.043 53.231 82.490
19.409 52.832 65.598
19.775 51.638 51.817
20.142 49.846 44.512
20.508 48.279 47.606
20.874 48.439 56.671
21.240 50.008 59.409
21.606 51.538 54.735
21.973 52.499 46.906
22.339 52.872 38.947
22.705 52.766 32.676
23.071 52.350 29.239
23.438 51.850 29.188
23.804 51.523 32.204
24.170 51.568 36.899
24.536 52.005 41.315
24.902 52.664 44.015
25.269 53.317 44.656
25.635 53.788 43.756
26.001 53.987 42.241
26.367 53.909 41.162
26.733 53.640 41.487
27.100 53.359 43.775
27.466 53.288 47.655
27.832 53.561 51.701
28.198 54.111 54.356
28.564 54.750 54.958
28.931 55.314 53.766
29.297 55.714 51.447
29.663 55.925 48.715
30.029 55.967 46.188
30.396 55.890 44.338
30.762 55.758 43.461
31.128 55.645 43.668
31.494 55.626 44.866
31.860 55.763 46.729
32.227 56.088 48.693
32.593 56.571 50.128
32.959 57.127 50.638
33.325 57.655 50.252
33.691 58.082 49.366
34.058 58.386 48.537
34.424 58.602 48.259
34.790 58.800 48.758
35.156 59.054 49.895
35.522 59.402 51.265
35.889 59.833 52.461
36.255 60.306 53.281
36.621 60.788 53.732
36.987 61.259 53.914
37.354 61.720 53.908
37.720 62.172 53.746
38.086 62.619 53.420
38.452 63.058 52.908
38.818 63.481 52.203
39.185 63.880 51.333
39.551 64.248 50.374
39.917 64.585 49.432
40.283 64.902 48.602
40.649 65.217 47.921
41.016 65.548 47.336
41.382 65.901 46.737
41.748 66.271 46.020
42.114 66.645 45.147
42.480 67.009 44.147
42.847 67.360 43.083
43.213 67.703 41.994
43.579 68.040 40.882
43.945 68.374 39.720
44.312 68.702 38.485
44.678 69.017 37.182
45.044 69.317 35.835
45.410 69.601 34.473
45.776 69.870 33.117
46.143 70.126 31.783
46.509 70.369 30.486
46.875 70.602 29.250
47.241 70.830 28.091
47.607 71.061 26.999
47.974 71.300 25.931
48.340 71.546 24.831
48.706 71.794 23.659
49.072 72.034 22.418
49.438 72.260 21.154
49.805 72.474 19.926
50.171 72.684 18.767
50.537 72.897 17.666
50.903 73.120 16.571
51.270 73.349 15.428
51.636 73.576 14.209
52.002 73.796 12.932
52.368 74.004 11.636
52.734 74.203 10.359
53.101 74.398 9.114
53.467 74.591 7.890
53.833 74.784 6.671
54.199 74.976 5.446
54.565 75.167 4.221
54.932 75.358 2.997
55.298 75.552 1.761
55.664 75.749 0.482
56.030 75.947 -0.873
56.396 76.139 -2.320
56.763 76.317 -3.838
57.129 76.479 -5.384
57.495 76.625 -6.910
57.861 76.761 -8.386
58.228 76.893 -9.817
58.594 77.024 -11.228
58.960 77.154 -12.649
59.326 77.278 -14.094
59.692 77.394 -15.552
60.059 77.499 -16.997
60.425 77.596 -18.405
60.791 77.687 -19.769
61.157 77.776 -21.096
61.523 77.862 -22.396
61.890 77.946 -23.675
62.256 78.026 -24.925
62.622 78.104 -26.137
62.988 78.184 -27.312
63.354 78.268 -28.470
63.721 78.355 -29.639
64.087 78.444 -30.843
64.453 78.528 -32.084
64.819 78.605 -33.343
65.186 78.675 -34.593
65.552 78.739 -35.819
65.918 78.801 -37.022
66.284 78.862 -38.215
66.650 78.920 -39.409
67.017 78.974 -40.604
67.383 79.022 -41.786
67.749 79.066 -42.943
68.115 79.107 -44.068
68.481 79.146 -45.171
68.848 79.185 -46.265
69.214 79.221 -47.354
69.580 79.253 -48.430
69.946 79.280 -49.479
70.312 79.304 -50.487
70.679 79.328 -51.454
71.045 79.355 -52.394
71.411 79.385 -53.326
71.777 79.415 -54.266
72.144 79.445 -55.218
72.510 79.471 -56.173
72.876 79.495 -57.124
73.242 79.515 -58.062
73.608 79.534 -58.991
73.975 79.551 -59.916
74.341 79.566 -60.841
74.707 79.577 -61.764
75.073 79.582 -62.673
75.439 79.582 -63.552
75.806 79.579 -64.389
76.172 79.575 -65.184
76.538 79.574 -65.944
76.904 79.574 -66.684
77.271 79.575 -67.415
77.637 79.576 -68.137
78.003 79.576 -68.843
78.369 79.575 -69.526
78.735 79.574 -70.181
79.102 79.575 -70.815
79.468 79.579 -71.436
79.834 79.583 -72.052
80.200 79.589 -72.667
80.566 79.593 -73.279
80.933 79.597 -73.881
81.299 79.599 -74.469
81.665 79.601 -75.041
82.031 79.603 -75.596
82.397 79.605 -76.133
82.764 79.608 -76.653
83.130 79.611 -77.155
83.496 79.615 -77.638
83.862 79.622 -78.102
84.229 79.630 -78.551
84.595 79.643 -78.990
84.961 79.658 -79.427
85.327 79.677 -79.871
85.693 79.697 -80.329
86.060 79.718 -80.799
86.426 79.737 -81.272
86.792 79.755 -81.740
87.158 79.773 -82.194
87.524 79.792 -82.635
87.891 79.815 -83.072
88.257 79.840 -83.518
88.623 79.866 -83.978
88.989 79.891 -84.451
89.355 79.913 -84.927
89.722 79.934 -85.391
90.088 79.955 -85.838
90.454 79.978 -86.269
90.820 80.004 -86.694
91.187 80.032 -87.124
91.553 80.062 -87.562
91.919 80.092 -88.008
92.285 80.123 -88.458
92.651 80.155 -88.911
93.018 80.187 -89.369
93.384 80.221 -89.837
93.750 80.254 -90.314
94.116 80.287 -90.796
94.482 80.319 -91.279
94.849 80.353 -91.764
95.215 80.387 -92.256
95.581 80.422 -92.763
95.947 80.456 -93.284
96.313 80.487 -93.813
96.680 80.517 -94.340
97.046 80.547 -94.860
97.412 80.577 -95.381
97.778 80.609 -95.913
98.145 80.639 -96.460
98.511 80.667 -97.014
98.877 80.692 -97.561
99.243 80.717 -98.089
99.609 80.745 -98.601
99.976 80.776 -99.116
100.342 80.811 -99.656
100.708 80.847 -100.231
101.074 80.880 -100.833
101.440 80.909 -101.446
101.807 80.935 -102.054
102.173 80.962 -102.654
102.539 80.989 -103.255
102.905 81.017 -103.867
103.271 81.045 -104.497
103.638 81.071 -105.141
104.004 81.095 -105.794
104.370 81.117 -106.452
104.736 81.138 -107.116
105.103 81.158 -107.788
105.469 81.176 -108.467
105.835 81.191 -109.152
106.201 81.204 -109.839
106.567 81.216 -110.525
106.934 81.225 -111.211
107.300 81.234 -111.897
107.666 81.242 -112.586
108.032 81.248 -113.280
108.398 81.254 -113.982
108.765 81.259 -114.697
109.131 81.261 -115.426
109.497 81.259 -116.165
109.863 81.255 -116.908
110.229 81.247 -117.651
110.596 81.236 -118.390
110.962 81.223 -119.127
111.328 81.208 -119.867
111.694 81.191 -120.612
112.061 81.170 -121.360
112.427 81.145 -122.107
112.793 81.116 -122.846
113.159 81.083 -123.574
113.525 81.048 -124.288
113.892 81.009 -124.988
114.258 80.968 -125.672
114.624 80.925 -126.337
114.990 80.880 -126.981
115.356 80.834 -127.605
115.723 80.788 -128.213
116.089 80.743 -128.811
116.455 80.698 -129.408
116.821 80.652 -130.008
117.188 80.603 -130.611
117.554 80.552 -131.210
117.920 80.497 -131.793
118.286 80.439 -132.353
118.652 80.382 -132.890
119.019 80.325 -133.413
119.385 80.269 -133.933
119.751 80.213 -134.461
120.117 80.154 -134.993
120.483 80.091 -135.523
120.850 80.025 -136.037
121.216 79.956 -136.529
121.582 79.886 -137.000
121.948 79.814 -137.457
122.314 79.742 -137.902
122.681 79.667 -138.333
123.047 79.590 -138.742
123.413 79.511 -139.122
123.779 79.433 -139.472
124.146 79.356 -139.802
124.512 79.280 -140.123
124.878 79.204 -140.439
125.244 79.126 -140.749
125.610 79.046 -141.042
125.977 78.965 -141.307
126.343 78.884 -141.542
126.709 78.806 -141.754
127.075 78.729 -141.956
127.441 78.652 -142.153
127.808 78.576 -142.345
128.174 78.497 -142.522
128.540 78.419 -142.675
128.906 78.341 -142.801
129.272 78.265 -142.908
129.639 78.191 -143.007
130.005 78.119 -143.103
130.371 78.046 -143.193
130.737 77.972 -143.268
131.104 77.898 -143.320
131.470 77.826 -143.348
131.836 77.756 -143.359
132.202 77.689 -143.359
132.568 77.623 -143.357
132.935 77.558 -143.350
133.301 77.494 -143.336
133.667 77.430 -143.309
134.033 77.367 -143.267
134.399 77.305 -143.213
134.766 77.245 -143.148
135.132 77.186 -143.073
135.498 77.130 -142.992
135.864 77.075 -142.906
136.230 77.021 -142.816
136.597 76.968 -142.724
136.963 76.916 -142.627
137.329 76.865 -142.524
137.695 76.814 -142.413
138.062 76.765 -142.293
138.428 76.716 -142.166
138.794 76.670 -142.034
139.160 76.625 -141.899
139.526 76.580 -141.761
139.893 76.537 -141.621
140.259 76.495 -141.477
140.625 76.453 -141.328
140.991 76.412 -141.172
141.357 76.371 -141.010
141.724 76.332 -140.840
142.090 76.293 -140.660
142.456 76.257 -140.469
142.822 76.222 -140.268
143.188 76.189 -140.058
143.555 76.160 -139.846
143.921 76.133 -139.640
144.287 76.107 -139.441
144.653 76.082 -139.247
145.020 76.056 -139.048
145.386 76.031 -138.838
145.752 76.008 -138.617
146.118 75.988 -138.395
146.484 75.971 -138.182
146.851 75.954 -137.979
147.217 75.936 -137.781
147.583 75.918 -137.574
147.949 75.901 -137.353
148.315 75.888 -137.125
148.682 75.877 -136.905
149.048 75.869 -136.704
149.414 75.859 -136.522
149.780 75.847 -136.342
150.146 75.834 -136.147
150.513 75.821 -135.930
150.879 75.811 -135.699
151.245 75.805 -135.470
151.611 75.802 -135.254
151.978 75.798 -135.048
152.344 75.794 -134.843
152.710 75.790 -134.629
153.076 75.788 -134.406
153.442 75.789 -134.182
153.809 75.792 -133.967
154.175 75.796 -133.764
154.541 75.799 -133.566
154.907 75.802 -133.363
155.273 75.805 -133.151
155.640 75.810 -132.933
156.006 75.818 -132.715
156.372 75.827 -132.502
156.738 75.837 -132.295
157.104 75.847 -132.088
157.471 75.859 -131.880
157.837 75.873 -131.672
158.203 75.889 -131.469
158.569 75.907 -131.277
158.936 75.927 -131.102
159.302 75.947 -130.942
159.668 75.966 -130.795
160.034 75.984 -130.655
160.400 76.001 -130.515
160.767 76.018 -130.370
161.133 76.035 -130.219
161.499 76.054 -130.063
161.865 76.075 -129.906
162.231 76.098 -129.755
162.598 76.122 -129.615
162.964 76.148 -129.487
163.330 76.173 -129.368
163.696 76.199 -129.254
164.062 76.225 -129.140
164.429 76.252 -129.026
164.795 76.281 -128.913
165.161 76.312 -128.812
165.527 76.345 -128.728
165.894 76.379 -128.666
166.260 76.411 -128.621
166.626 76.442 -128.587
166.992 76.472 -128.556
167.358 76.503 -128.526
167.725 76.533 -128.501
168.091 76.565 -128.486
168.457 76.597 -128.486
168.823 76.629 -128.502
169.189 76.659 -128.529
169.556 76.687 -128.564
