* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:51:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,542±0,005 ms (529 mm, 1,73 ft) Mikroofn na sredini, bass + visoko tonec
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197 38.069 -57.511
2.563 39.794 -73.196
2.930 40.189 -87.183
3.296 39.494 -99.159
3.662 37.855 -108.239
4.028 35.452 -113.410
4.395 32.502 -114.489
4.761 28.915 -112.755
5.127 23.533 -105.468
5.493 16.965 -49.717
5.859 23.327 -8.166
6.226 27.074 -18.723
6.592 28.517 -44.403
6.958 29.408 -80.887
7.324 31.088 -120.565
7.690 33.211 -154.064
8.057 34.827 179.384
8.423 35.544 157.113
8.789 35.242 137.082
9.155 33.765 117.989
9.521 30.688 98.769
9.888 24.522 77.410
10.254 4.311 -43.458
10.620 23.564 -130.736
10.986 28.228 -154.463
11.353 30.556 -177.093
11.719 32.338 161.405
12.085 34.282 142.256
12.451 36.495 125.542
12.817 38.691 110.172
13.184 40.472 95.396
13.550 41.502 81.533
13.916 41.521 70.264
14.282 40.410 65.926
14.648 39.096 77.174
15.015 40.693 97.203
15.381 43.957 101.075
15.747 46.253 92.853
16.113 47.124 80.189
16.479 46.425 67.494
16.846 43.730 61.200
17.212 39.704 84.699
17.578 43.403 123.501
17.944 48.319 121.775
18.311 51.230 107.631
18.677 52.750 90.120
19.043 53.231 71.972
19.409 52.832 54.878
19.775 51.638 40.894
20.142 49.846 33.387
20.508 48.279 36.278
20.874 48.439 45.140
21.240 50.008 47.676
21.606 51.538 42.800
21.973 52.499 34.769
22.339 52.872 26.608
22.705 52.766 20.134
23.071 52.350 16.495
23.438 51.850 16.242
23.804 51.523 19.057
24.170 51.568 23.549
24.536 52.005 27.763
24.902 52.664 30.260
25.269 53.317 30.700
25.635 53.788 29.597
26.001 53.987 27.880
26.367 53.909 26.598
26.733 53.640 26.721
27.100 53.359 28.807
27.466 53.288 32.484
27.832 53.561 36.329
28.198 54.111 38.781
28.564 54.750 39.181
28.931 55.314 37.787
29.297 55.714 35.265
29.663 55.925 32.331
30.029 55.967 29.602
30.396 55.890 27.549
30.762 55.758 26.470
31.128 55.645 26.474
31.494 55.626 27.470
31.860 55.763 29.131
32.227 56.088 30.893
32.593 56.571 32.126
32.959 57.127 32.433
33.325 57.655 31.845
33.691 58.082 30.757
34.058 58.386 29.726
34.424 58.602 29.245
34.790 58.800 29.542
35.156 59.054 30.477
35.522 59.402 31.645
35.889 59.833 32.638
36.255 60.306 33.256
36.621 60.788 33.505
36.987 61.259 33.484
37.354 61.720 33.276
37.720 62.172 32.912
38.086 62.619 32.384
38.452 63.058 31.670
38.818 63.481 30.762
39.185 63.880 29.690
39.551 64.248 28.529
39.917 64.585 27.384
40.283 64.902 26.352
40.649 65.217 25.468
41.016 65.548 24.681
41.382 65.901 23.880
41.748 66.271 22.961
42.114 66.645 21.885
42.480 67.009 20.684
42.847 67.360 19.417
43.213 67.703 18.126
43.579 68.040 16.811
43.945 68.374 15.447
44.312 68.702 14.010
44.678 69.017 12.505
45.044 69.317 10.956
45.410 69.601 9.391
45.776 69.870 7.833
46.143 70.126 6.296
46.509 70.369 4.797
46.875 70.602 3.359
47.241 70.830 1.998
47.607 71.061 0.703
47.974 71.300 -0.567
48.340 71.546 -1.869
48.706 71.794 -3.244
49.072 72.034 -4.687
49.438 72.260 -6.153
49.805 72.474 -7.584
50.171 72.684 -8.945
50.537 72.897 -10.248
50.903 73.120 -11.545
51.270 73.349 -12.890
51.636 73.576 -14.311
52.002 73.796 -15.791
52.368 74.004 -17.289
52.734 74.203 -18.769
53.101 74.398 -20.216
53.467 74.591 -21.642
53.833 74.784 -23.063
54.199 74.976 -24.490
54.565 75.167 -25.918
54.932 75.358 -27.344
55.298 75.552 -28.782
55.664 75.749 -30.263
56.030 75.947 -31.821
56.396 76.139 -33.470
56.763 76.317 -35.190
57.129 76.479 -36.939
57.495 76.625 -38.666
57.861 76.761 -40.345
58.228 76.893 -41.978
58.594 77.024 -43.591
58.960 77.154 -45.215
59.326 77.278 -46.862
59.692 77.394 -48.522
60.059 77.499 -50.169
60.425 77.596 -51.780
60.791 77.687 -53.347
61.157 77.776 -54.875
61.523 77.862 -56.378
61.890 77.946 -57.859
62.256 78.026 -59.311
62.622 78.104 -60.726
62.988 78.184 -62.103
63.354 78.268 -63.463
63.721 78.355 -64.835
64.087 78.444 -66.241
64.453 78.528 -67.684
64.819 78.605 -69.145
65.186 78.675 -70.598
65.552 78.739 -72.026
65.918 78.801 -73.431
66.284 78.862 -74.826
66.650 78.920 -76.223
67.017 78.974 -77.620
67.383 79.022 -79.005
67.749 79.066 -80.363
68.115 79.107 -81.691
68.481 79.146 -82.996
68.848 79.185 -84.292
69.214 79.221 -85.583
69.580 79.253 -86.862
69.946 79.280 -88.113
70.312 79.304 -89.323
70.679 79.328 -90.492
71.045 79.355 -91.635
71.411 79.385 -92.770
71.777 79.415 -93.912
72.144 79.445 -95.065
72.510 79.471 -96.224
72.876 79.495 -97.376
73.242 79.515 -98.517
73.608 79.534 -99.648
73.975 79.551 -100.775
74.341 79.566 -101.902
74.707 79.577 -103.028
75.073 79.582 -104.139
75.439 79.582 -105.220
75.806 79.579 -106.260
76.172 79.575 -107.257
76.538 79.574 -108.219
76.904 79.574 -109.162
77.271 79.575 -110.095
77.637 79.576 -111.019
78.003 79.576 -111.928
78.369 79.575 -112.812
78.735 79.574 -113.670
79.102 79.575 -114.506
79.468 79.579 -115.329
79.834 79.583 -116.148
80.200 79.589 -116.965
80.566 79.593 -117.779
80.933 79.597 -118.583
81.299 79.599 -119.374
81.665 79.601 -120.148
82.031 79.603 -120.905
82.397 79.605 -121.645
82.764 79.608 -122.367
83.130 79.611 -123.071
83.496 79.615 -123.756
83.862 79.622 -124.423
84.229 79.630 -125.074
84.595 79.643 -125.715
84.961 79.658 -126.354
85.327 79.677 -127.001
85.693 79.697 -127.661
86.060 79.718 -128.333
86.426 79.737 -129.009
86.792 79.755 -129.679
87.158 79.773 -130.335
87.524 79.792 -130.978
87.891 79.815 -131.618
88.257 79.840 -132.265
88.623 79.866 -132.928
88.989 79.891 -133.604
89.355 79.913 -134.281
89.722 79.934 -134.948
90.088 79.955 -135.597
90.454 79.978 -136.230
90.820 80.004 -136.858
91.187 80.032 -137.490
91.553 80.062 -138.130
91.919 80.092 -138.779
92.285 80.123 -139.431
92.651 80.155 -140.086
93.018 80.187 -140.747
93.384 80.221 -141.417
93.750 80.254 -142.096
94.116 80.287 -142.781
94.482 80.319 -143.466
94.849 80.353 -144.153
95.215 80.387 -144.847
95.581 80.422 -145.556
95.947 80.456 -146.280
96.313 80.487 -147.011
96.680 80.517 -147.740
97.046 80.547 -148.463
97.412 80.577 -149.186
97.778 80.609 -149.920
98.145 80.639 -150.669
98.511 80.667 -151.426
98.877 80.692 -152.175
99.243 80.717 -152.905
99.609 80.745 -153.620
99.976 80.776 -154.337
100.342 80.811 -155.079
100.708 80.847 -155.856
101.074 80.880 -156.661
101.440 80.909 -157.476
101.807 80.935 -158.286
102.173 80.962 -159.088
102.539 80.989 -159.891
102.905 81.017 -160.706
103.271 81.045 -161.538
103.638 81.071 -162.384
104.004 81.095 -163.240
104.370 81.117 -164.100
104.736 81.138 -164.966
105.103 81.158 -165.840
105.469 81.176 -166.722
105.835 81.191 -167.609
106.201 81.204 -168.498
106.567 81.216 -169.387
106.934 81.225 -170.275
107.300 81.234 -171.163
107.666 81.242 -172.054
108.032 81.248 -172.950
108.398 81.254 -173.855
108.765 81.259 -174.772
109.131 81.261 -175.703
109.497 81.259 -176.644
109.863 81.255 -177.590
110.229 81.247 -178.535
110.596 81.236 -179.476
110.962 81.223 179.584
111.328 81.208 178.642
111.694 81.191 177.695
112.061 81.170 176.744
112.427 81.145 175.795
112.793 81.116 174.854
113.159 81.083 173.924
113.525 81.048 173.007
113.892 81.009 172.105
114.258 80.968 171.219
114.624 80.925 170.352
114.990 80.880 169.505
115.356 80.834 168.679
115.723 80.788 167.869
116.089 80.743 167.069
116.455 80.698 166.269
116.821 80.652 165.467
117.188 80.603 164.661
117.554 80.552 163.860
117.920 80.497 163.075
118.286 80.439 162.313
118.652 80.382 161.573
119.019 80.325 160.848
119.385 80.269 160.125
119.751 80.213 159.396
120.117 80.154 158.661
120.483 80.091 157.929
120.850 80.025 157.213
121.216 79.956 156.518
121.582 79.886 155.845
121.948 79.814 155.186
122.314 79.742 154.539
122.681 79.667 153.906
123.047 79.590 153.295
123.413 79.511 152.712
123.779 79.433 152.159
124.146 79.356 151.627
124.512 79.280 151.104
124.878 79.204 150.585
125.244 79.126 150.073
125.610 79.046 149.579
125.977 78.965 149.111
126.343 78.884 148.674
126.709 78.806 148.259
127.075 78.729 147.855
127.441 78.652 147.456
127.808 78.576 147.062
128.174 78.497 146.682
128.540 78.419 146.327
128.906 78.341 145.999
129.272 78.265 145.689
129.639 78.191 145.388
130.005 78.119 145.090
130.371 78.046 144.798
130.737 77.972 144.520
131.104 77.898 144.266
131.470 77.826 144.035
131.836 77.756 143.823
132.202 77.689 143.620
132.568 77.623 143.420
132.935 77.558 143.224
133.301 77.494 143.037
133.667 77.430 142.862
134.033 77.367 142.700
134.399 77.305 142.552
134.766 77.245 142.416
135.132 77.186 142.288
135.498 77.130 142.167
135.864 77.075 142.051
136.230 77.021 141.938
136.597 76.968 141.828
136.963 76.916 141.723
137.329 76.865 141.623
137.695 76.814 141.532
138.062 76.765 141.449
138.428 76.716 141.375
138.794 76.670 141.304
139.160 76.625 141.237
139.526 76.580 141.172
139.893 76.537 141.110
140.259 76.495 141.052
140.625 76.453 141.000
140.991 76.412 140.952
141.357 76.371 140.912
141.724 76.332 140.880
142.090 76.293 140.858
142.456 76.256 140.846
142.822 76.222 140.846
143.188 76.189 140.853
143.555 76.160 140.863
143.921 76.133 140.867
144.287 76.107 140.863
144.653 76.082 140.855
145.020 76.056 140.852
145.386 76.031 140.860
145.752 76.008 140.878
146.118 75.988 140.897
146.484 75.971 140.909
146.851 75.954 140.909
147.217 75.936 140.905
147.583 75.918 140.910
147.949 75.901 140.929
148.315 75.888 140.955
148.682 75.877 140.972
149.048 75.869 140.970
149.414 75.859 140.950
149.780 75.847 140.928
150.146 75.834 140.921
150.513 75.821 140.935
150.879 75.811 140.964
151.245 75.805 140.991
151.611 75.802 141.005
151.978 75.798 141.008
152.344 75.794 141.011
152.710 75.790 141.023
153.076 75.788 141.044
153.442 75.789 141.066
153.809 75.792 141.078
154.175 75.796 141.079
154.541 75.799 141.075
154.907 75.802 141.075
155.273 75.805 141.085
155.640 75.810 141.101
156.006 75.818 141.116
156.372 75.827 141.127
156.738 75.837 141.132
157.104 75.847 141.136
157.471 75.859 141.142
157.837 75.873 141.148
158.203 75.889 141.149
158.569 75.907 141.139
158.936 75.927 141.112
159.302 75.947 141.069
159.668 75.966 141.013
160.034 75.984 140.952
160.400 76.001 140.889
160.767 76.018 140.832
161.133 76.035 140.781
161.499 76.054 140.735
161.865 76.075 140.689
162.231 76.098 140.637
162.598 76.122 140.576
162.964 76.148 140.502
163.330 76.173 140.418
163.696 76.199 140.330
164.062 76.225 140.241
164.429 76.252 140.154
164.795 76.281 140.064
165.161 76.312 139.963
165.527 76.345 139.844
165.894 76.379 139.705
166.260 76.411 139.547
166.626 76.442 139.378
166.992 76.472 139.207
167.358 76.503 139.035
167.725 76.533 138.858
168.091 76.565 138.670
168.457 76.597 138.468
168.823 76.629 138.250
169.189 76.659 138.020
169.556 76.687 137.784
169.922 76.715 137.542
170.288 76.742 137.296
170.654 76.768 137.043
171.021 76.793 136.784
171.387 76.817 136.521
171.753 76.839 136.254
172.119 76.860 135.986
172.485 76.880 135.718
172.852 76.898 135.450
173.218 76.915 135.184
173.584 76.931 134.923
173.950 76.946 134.667
