* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:49:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,542±0,005 ms (529 mm, 1,73 ft) Mikrofon na sredi, samo visoko tonec
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197 37.976 68.145
2.563 36.770 41.760
2.930 34.549 17.688
3.296 30.983 -1.186
3.662 25.808 -4.827
4.028 23.013 23.121
4.395 25.431 32.436
4.761 26.491 18.754
5.127 25.302 -2.388
5.493 21.179 -27.846
5.859 8.147 -76.110
6.226 16.879 120.133
6.592 22.900 88.669
6.958 25.085 60.131
7.324 25.530 30.807
7.690 24.921 -0.229
8.057 23.739 -32.869
8.423 22.496 -64.991
8.789 21.711 -92.182
9.155 21.985 -111.810
9.521 23.705 -128.575
9.888 26.247 -149.235
10.254 28.746 -174.692
10.620 30.776 156.977
10.986 32.133 127.438
11.353 32.603 97.573
11.719 31.806 67.382
12.085 28.806 34.967
12.451 19.895 -21.512
12.817 25.729 -163.210
13.184 33.045 159.708
13.550 36.392 132.763
13.916 37.667 109.062
14.282 37.236 88.311
14.648 34.921 72.663
15.015 30.195 71.624
15.381 26.574 111.756
15.747 29.236 138.597
16.113 29.373 152.861
16.479 31.187 -164.336
16.846 38.245 -148.070
17.212 43.502 -156.362
17.578 46.900 -171.385
17.944 48.936 171.603
18.311 49.859 154.432
18.677 49.768 138.382
19.043 48.679 125.091
19.409 46.627 117.580
19.775 44.127 121.247
20.142 43.066 136.518
20.508 44.080 146.997
20.874 45.180 147.321
21.240 45.532 143.409
21.606 45.199 139.491
21.973 44.458 137.434
22.339 43.564 137.309
22.705 42.584 138.473
23.071 41.468 141.379
23.438 40.429 147.576
23.804 40.064 155.810
24.170 40.441 160.151
24.536 40.741 157.415
24.902 40.222 149.098
25.269 38.382 137.493
25.635 34.454 124.232
26.001 25.185 109.285
26.367 23.128 -75.307
26.733 32.098 -87.348
27.100 35.512 -94.657
27.466 37.574 -100.335
27.832 39.137 -107.234
28.198 40.222 -117.384
28.564 40.611 -131.119
28.931 40.083 -147.971
29.297 38.382 -167.648
29.663 35.034 168.986
30.029 28.777 135.208
30.396 21.677 36.321
30.762 28.003 -34.329
31.128 30.252 -64.071
31.494 29.352 -87.127
31.860 24.880 -105.632
32.227 8.858 -61.331
32.593 24.205 14.377
32.959 29.314 -1.313
33.325 31.179 -19.446
33.691 31.236 -37.526
34.058 29.751 -54.674
34.424 26.398 -69.283
34.790 19.572 -72.607
35.156 14.656 8.580
35.522 22.643 24.960
35.889 25.857 12.670
36.255 26.856 -3.824
36.621 26.373 -21.705
36.987 24.533 -40.208
37.354 21.076 -59.097
37.720 14.958 -79.207
38.086 -0.322 -124.634
38.452 7.783 92.397
38.818 12.043 81.012
39.185 13.500 81.841
39.551 14.985 87.268
39.917 16.724 88.936
40.283 18.024 86.507
40.649 18.757 83.522
41.016 19.321 82.066
41.382 20.176 80.580
41.748 21.249 75.459
42.114 22.050 65.531
42.480 22.169 52.002
42.847 21.322 36.660
43.213 19.147 21.872
43.579 14.825 13.433
43.945 8.206 45.452
44.312 13.437 93.482
44.678 18.318 88.393
45.044 20.853 73.759
45.410 22.023 56.879
45.776 22.160 39.289
46.143 21.251 21.393
46.509 18.911 3.227
46.875 13.601 -15.287
47.241 -13.219 149.143
47.607 14.976 127.211
47.974 20.501 108.077
48.340 23.112 89.225
48.706 24.092 71.155
49.072 23.726 54.962
49.438 21.986 43.321
49.805 18.945 43.859
50.171 17.264 67.597
50.537 19.889 84.692
50.903 22.447 81.969
51.270 23.667 72.634
51.636 23.758 63.340
52.002 23.107 58.196
52.368 22.480 59.653
52.734 22.804 64.367
53.101 23.930 65.329
53.467 25.013 61.374
53.833 25.654 55.462
54.199 25.888 50.376
54.565 25.967 47.535
54.932 26.155 46.628
55.298 26.509 46.282
55.664 26.892 46.061
56.030 27.266 46.835
56.396 27.843 49.008
56.763 28.839 50.784
57.129 30.087 49.520
57.495 31.173 44.549
57.861 31.775 37.088
58.228 31.746 29.019
58.594 31.070 22.523
58.960 29.930 20.153
59.326 28.895 23.612
59.692 28.702 29.889
60.059 29.212 32.724
60.425 29.622 30.701
60.791 29.451 26.580
61.157 28.627 24.039
61.523 27.508 26.840
61.890 27.031 35.719
62.256 27.805 43.868
62.622 29.073 45.663
62.988 30.036 42.657
63.354 30.469 38.146
63.721 30.457 34.786
64.087 30.279 34.303
64.453 30.352 36.617
64.819 30.927 39.273
65.186 31.825 39.633
65.552 32.685 37.193
65.918 33.270 32.991
66.284 33.505 28.377
66.650 33.426 24.551
67.017 33.153 22.353
67.383 32.860 22.004
67.749 32.700 22.930
68.115 32.717 24.125
68.481 32.852 24.919
68.848 33.042 25.200
69.214 33.276 25.003
69.580 33.557 24.113
69.946 33.846 22.173
70.312 34.048 19.081
70.679 34.060 15.259
71.045 33.833 11.598
71.411 33.407 9.196
71.777 32.950 8.929
72.144 32.720 10.644
72.510 32.885 12.747
72.876 33.353 13.370
73.242 33.875 11.847
73.608 34.250 8.693
73.975 34.381 4.843
74.341 34.249 1.236
74.707 33.897 -1.295
75.073 33.426 -2.094
75.439 32.995 -0.948
75.806 32.770 1.570
76.172 32.814 4.190
76.538 33.032 5.808
76.904 33.268 6.176
77.271 33.418 5.734
77.637 33.466 5.069
78.003 33.451 4.505
78.369 33.413 4.025
78.735 33.355 3.471
79.102 33.249 2.865
79.468 33.076 2.488
79.834 32.863 2.715
80.200 32.676 3.743
80.566 32.584 5.414
80.933 32.622 7.384
81.299 32.796 9.302
81.665 33.098 10.830
82.031 33.493 11.543
82.397 33.896 11.125
82.764 34.184 9.691
83.130 34.263 7.927
83.496 34.128 6.924
83.862 33.915 7.629
84.229 33.866 9.952
84.595 34.131 12.262
84.961 34.574 12.765
85.327 34.908 11.182
85.693 34.930 8.683
86.060 34.622 7.036
86.426 34.179 7.752
86.792 33.966 10.835
87.158 34.211 14.010
87.524 34.733 14.814
87.891 35.171 12.974
88.257 35.306 9.849
88.623 35.120 7.164
88.989 34.759 6.297
89.355 34.487 7.596
89.722 34.524 9.901
90.088 34.855 11.398
90.454 35.272 11.224
90.820 35.581 9.765
91.187 35.694 7.959
91.553 35.621 6.769
91.919 35.456 6.939
92.285 35.357 8.684
92.651 35.483 11.323
93.018 35.865 13.485
93.384 36.366 14.096
93.750 36.786 13.113
94.116 36.994 11.328
94.482 36.983 9.820
94.849 36.860 9.372
95.215 36.792 9.920
95.581 36.868 10.468
95.947 36.997 10.014
96.313 36.997 8.594
96.680 36.765 7.333
97.046 36.387 7.737
97.412 36.171 10.397
97.778 36.416 13.570
98.145 37.033 14.387
98.511 37.623 11.869
98.877 37.853 7.191
99.243 37.586 2.439
99.609 36.876 0.044
99.976 36.062 2.267
100.342 35.806 8.782
100.708 36.443 14.788
101.074 37.476 16.417
101.440 38.326 14.296
101.807 38.769 10.682
102.173 38.827 7.568
102.539 38.672 6.266
102.905 38.554 7.023
103.271 38.667 8.773
103.638 39.002 9.956
104.004 39.395 9.804
104.370 39.689 8.585
104.736 39.825 6.994
105.103 39.824 5.637
105.469 39.741 4.801
105.835 39.628 4.489
106.201 39.511 4.611
106.567 39.404 5.162
106.934 39.343 6.198
107.300 39.386 7.590
107.666 39.582 8.822
108.032 39.903 9.177
108.398 40.246 8.230
108.765 40.486 6.126
109.131 40.538 3.499
109.497 40.388 1.220
109.863 40.108 0.104
110.229 39.848 0.511
110.596 39.768 1.958
110.962 39.917 3.279
111.328 40.195 3.520
111.694 40.446 2.575
112.061 40.567 1.005
112.427 40.544 -0.436
112.793 40.435 -1.190
113.159 40.337 -1.139
113.525 40.325 -0.655
113.892 40.405 -0.317
114.258 40.520 -0.487
114.624 40.601 -1.116
114.990 40.613 -1.859
115.356 40.574 -2.339
115.723 40.542 -2.414
116.089 40.573 -2.322
116.455 40.672 -2.535
116.821 40.778 -3.387
117.188 40.808 -4.786
117.554 40.711 -6.210
117.920 40.506 -6.967
118.286 40.299 -6.617
118.652 40.225 -5.404
119.019 40.346 -4.277
119.385 40.582 -4.148
119.751 40.786 -5.184
120.117 40.847 -6.832
120.483 40.750 -8.279
120.850 40.563 -8.916
121.216 40.393 -8.667
121.582 40.310 -7.989
121.948 40.300 -7.442
122.314 40.299 -7.204
122.681 40.263 -7.046
123.047 40.207 -6.672
123.413 40.175 -6.060
123.779 40.190 -5.478
124.146 40.227 -5.195
124.512 40.238 -5.195
124.878 40.203 -5.207
125.244 40.143 -4.957
125.610 40.109 -4.426
125.977 40.130 -3.856
126.343 40.192 -3.525
126.709 40.257 -3.500
127.075 40.301 -3.620
127.441 40.328 -3.681
127.808 40.366 -3.618
128.174 40.437 -3.544
128.540 40.539 -3.647
128.906 40.646 -4.048
129.272 40.726 -4.736
129.639 40.750 -5.574
130.005 40.702 -6.320
130.371 40.588 -6.667
130.737 40.446 -6.334
131.104 40.350 -5.281
131.470 40.364 -3.876
131.836 40.491 -2.766
132.202 40.653 -2.427
132.568 40.743 -2.782
132.935 40.695 -3.254
133.301 40.530 -3.110
133.667 40.354 -1.915
134.033 40.296 0.040
134.399 40.403 1.843
134.766 40.595 2.711
135.132 40.735 2.592
135.498 40.741 2.076
135.864 40.622 1.914
136.230 40.464 2.580
136.597 40.382 3.951
136.963 40.433 5.384
137.329 40.580 6.227
137.695 40.735 6.274
138.062 40.825 5.782
138.428 40.828 5.198
138.794 40.770 4.914
139.160 40.702 5.101
139.526 40.676 5.670
139.893 40.719 6.350
140.259 40.820 6.845
140.625 40.944 7.008
140.991 41.051 6.886
141.357 41.118 6.677
141.724 41.149 6.604
142.090 41.165 6.812
142.456 41.195 7.295
142.822 41.257 7.922
143.188 41.349 8.536
143.555 41.455 9.045
143.921 41.557 9.452
144.287 41.647 9.825
144.653 41.724 10.243
145.020 41.798 10.745
145.386 41.883 11.298
145.752 41.984 11.792
146.118 42.089 12.089
146.484 42.169 12.147
146.851 42.192 12.112
147.217 42.148 12.315
147.583 42.077 13.109
147.949 42.060 14.576
148.315 42.176 16.304
148.682 42.428 17.546
149.048 42.731 17.774
149.414 42.969 17.044
149.780 43.071 15.912
150.146 43.041 15.078
150.513 42.957 15.029
150.879 42.924 15.724
151.245 43.004 16.597
151.611 43.165 17.017
151.978 43.318 16.798
152.344 43.390 16.276
152.710 43.375 16.016
153.076 43.334 16.422
153.442 43.358 17.446
153.809 43.501 18.581
154.175 43.738 19.232
154.541 43.990 19.138
154.907 44.182 18.464
155.273 44.280 17.617
155.640 44.296 17.006
156.006 44.272 16.870
156.372 44.264 17.206
156.738 44.305 17.799
157.104 44.401 18.375
157.471 44.529 18.743
157.837 44.662 18.857
158.203 44.780 18.777
158.569 44.871 18.602
158.936 44.933 18.436
159.302 44.970 18.387
159.668 44.995 18.552
160.034 45.031 18.978
160.400 45.107 19.589
160.767 45.238 20.182
161.133 45.411 20.517
161.499 45.592 20.484
161.865 45.746 20.167
162.231 45.859 19.782
162.598 45.948 19.511
162.964 46.041 19.365
163.330 46.153 19.192
163.696 46.269 18.824
164.062 46.355 18.265
164.429 46.389 17.722
164.795 46.383 17.466
165.161 46.381 17.628
165.527 46.426 18.069
165.894 46.533 18.474
166.260 46.673 18.598
166.626 46.807 18.436
166.992 46.915 18.159
167.358 47.007 17.920
167.725 47.105 17.720
168.091 47.213 17.429
168.457 47.313 16.955
168.823 47.378 16.372
169.189 47.401 15.895
169.556 47.406 15.718
169.922 47.435 15.843
170.288 47.513 16.049
170.654 47.633 16.059
171.021 47.757 15.750
171.387 47.850 15.218
171.753 47.901 14.683
172.119 47.926 14.318
172.485 47.950 14.156
172.852 47.990 14.109
173.218 48.046 14.073
173.584 48.109 14.006
173.950 48.177 13.923
174.316 48.251 13.826
174.683 48.333 13.672
175.049 48.416 13.408
175.415 48.486 13.044
175.781 48.534 12.672
176.147 48.568 12.404
176.514 48.608 12.275
