* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:49:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,542±0,005 ms (529 mm, 1,73 ft) Mikrofon na sredi, samo visoko tonec
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197 37.976 66.932
2.563 36.770 40.344
2.930 34.549 16.069
3.296 30.983 -3.004
3.662 25.809 -6.854
4.028 23.012 20.890
4.395 25.431 30.011
4.761 26.492 16.127
5.127 25.302 -5.216
5.493 21.180 -30.880
5.859 8.143 -79.328
6.226 16.877 116.693
6.592 22.900 85.031
6.958 25.085 56.284
7.324 25.531 26.762
7.690 24.921 -4.475
8.057 23.740 -37.316
8.423 22.496 -69.639
8.789 21.710 -97.038
9.155 21.985 -116.856
9.521 23.705 -133.835
9.888 26.247 -154.696
10.254 28.746 179.645
10.620 30.776 151.107
10.986 32.133 121.368
11.353 32.603 91.299
11.719 31.806 60.905
12.085 28.806 28.292
12.451 19.896 -28.396
12.817 25.730 -170.289
13.184 33.045 152.424
13.550 36.392 125.279
13.916 37.667 101.375
14.282 37.236 80.422
14.648 34.921 64.573
15.015 30.195 63.334
15.381 26.575 103.260
15.747 29.236 129.895
16.113 29.373 143.959
16.479 31.188 -173.439
16.846 38.245 -157.375
17.212 43.502 -165.870
17.578 46.900 178.904
17.944 48.936 161.691
18.311 49.859 144.318
18.677 49.768 128.066
19.043 48.679 114.573
19.409 46.627 106.860
19.775 44.127 110.324
20.142 43.066 125.392
20.508 44.081 135.668
20.874 45.180 135.791
21.240 45.532 131.677
21.606 45.199 127.557
21.973 44.458 125.297
22.339 43.564 124.970
22.705 42.584 125.931
23.071 41.468 128.636
23.438 40.429 134.631
23.804 40.064 142.662
24.170 40.440 146.801
24.536 40.741 143.862
24.902 40.222 135.343
25.269 38.383 123.536
25.635 34.455 110.074
26.001 25.185 94.917
26.367 23.128 -89.868
26.733 32.098 -102.114
27.100 35.512 -109.625
27.466 37.574 -115.507
27.832 39.137 -122.607
28.198 40.222 -132.960
28.564 40.611 -146.898
28.931 40.083 -163.950
29.297 38.382 176.170
29.663 35.033 152.601
30.029 28.777 118.625
30.396 21.677 19.529
30.762 28.002 -51.324
31.128 30.252 -81.263
31.494 29.352 -104.522
31.860 24.879 -123.235
32.227 8.856 -79.110
32.593 24.205 -3.627
32.959 29.314 -19.515
33.325 31.179 -37.855
33.691 31.236 -56.136
34.058 29.751 -73.483
34.424 26.397 -88.306
34.790 19.573 -91.822
35.156 14.659 -10.830
35.522 22.643 5.345
35.889 25.856 -7.156
36.255 26.856 -23.852
36.621 26.373 -41.934
36.987 24.532 -60.636
37.354 21.076 -79.733
37.720 14.957 -100.014
38.086 -0.302 -145.596
38.452 7.788 71.140
38.818 12.043 59.573
39.185 13.498 60.235
39.551 14.984 65.415
39.917 16.725 66.890
40.283 18.025 64.265
40.649 18.757 61.065
41.016 19.322 59.422
41.382 20.178 57.708
41.748 21.248 52.389
42.114 22.048 42.274
42.480 22.169 28.538
42.847 21.322 13.001
43.213 19.146 -1.997
43.579 14.826 -10.632
43.945 8.212 21.196
44.312 13.436 68.983
44.678 18.316 63.720
45.044 20.853 48.877
45.410 22.023 31.795
45.776 22.158 14.006
46.143 21.251 -4.096
46.509 18.913 -22.469
46.875 13.604 -41.197
47.241 -13.224 123.157
47.607 14.976 100.918
47.974 20.501 81.589
48.340 23.112 62.522
48.706 24.092 44.252
49.072 23.727 27.855
49.438 21.985 16.011
49.805 18.945 16.336
50.171 17.265 39.878
50.537 19.890 56.778
50.903 22.447 53.859
51.270 23.667 44.320
51.636 23.758 34.826
52.002 23.108 29.475
52.368 22.481 30.714
52.734 22.804 35.242
53.101 23.930 35.994
53.467 25.013 31.846
53.833 25.654 25.727
54.199 25.888 20.438
54.565 25.967 17.400
54.932 26.155 16.280
55.298 26.508 15.740
55.664 26.892 15.317
56.030 27.266 15.885
56.396 27.843 17.858
56.763 28.838 19.428
57.129 30.087 17.964
57.495 31.173 12.792
57.861 31.776 5.130
58.228 31.746 -3.144
58.594 31.071 -9.842
58.960 29.930 -12.411
59.326 28.895 -9.157
59.692 28.703 -3.082
60.059 29.212 -0.449
60.425 29.622 -2.672
60.791 29.450 -6.997
61.157 28.627 -9.741
61.523 27.507 -7.144
61.890 27.031 1.532
62.256 27.805 9.480
62.622 29.072 11.073
62.988 30.035 7.866
63.354 30.469 3.152
63.721 30.456 -0.407
64.087 30.279 -1.098
64.453 30.353 1.012
64.819 30.927 3.468
65.186 31.826 3.625
65.552 32.685 0.984
65.918 33.270 -3.421
66.284 33.505 -8.234
66.650 33.426 -12.263
67.017 33.153 -14.664
67.383 32.860 -15.215
67.749 32.700 -14.494
68.115 32.717 -13.500
68.481 32.852 -12.906
68.848 33.042 -12.826
69.214 33.275 -13.227
69.580 33.557 -14.319
69.946 33.846 -16.463
70.312 34.048 -19.757
70.679 34.060 -23.779
71.045 33.833 -27.646
71.411 33.407 -30.249
71.777 32.950 -30.719
72.144 32.720 -29.204
72.510 32.885 -27.302
72.876 33.353 -26.885
73.242 33.876 -28.612
73.608 34.251 -31.966
73.975 34.381 -36.018
74.341 34.249 -39.826
74.707 33.897 -42.559
75.073 33.427 -43.562
75.439 32.995 -42.618
75.806 32.770 -40.303
76.172 32.814 -37.883
76.538 33.032 -36.467
76.904 33.268 -36.302
77.271 33.418 -36.945
77.637 33.466 -37.812
78.003 33.451 -38.579
78.369 33.413 -39.262
78.735 33.355 -40.016
79.102 33.249 -40.826
79.468 33.076 -41.406
79.834 32.863 -41.379
80.200 32.676 -40.558
80.566 32.584 -39.089
80.933 32.623 -37.319
81.299 32.796 -35.602
81.665 33.098 -34.280
82.031 33.494 -33.767
82.397 33.896 -34.389
82.764 34.185 -36.026
83.130 34.263 -37.991
83.496 34.128 -39.195
83.862 33.915 -38.692
84.229 33.866 -36.573
84.595 34.131 -34.464
84.961 34.574 -34.165
85.327 34.907 -35.951
85.693 34.929 -38.650
86.060 34.622 -40.500
86.426 34.180 -39.987
86.792 33.966 -37.103
87.158 34.211 -34.130
87.524 34.733 -33.531
87.891 35.171 -35.573
88.257 35.306 -38.900
88.623 35.120 -41.787
88.989 34.759 -42.858
89.355 34.487 -41.761
89.722 34.524 -39.657
90.088 34.855 -38.362
90.454 35.272 -38.738
90.820 35.581 -40.398
91.187 35.694 -42.408
91.553 35.621 -43.802
91.919 35.456 -43.834
92.285 35.357 -42.291
92.651 35.483 -39.853
93.018 35.865 -37.893
93.384 36.366 -37.484
93.750 36.786 -38.671
94.116 36.994 -40.656
94.482 36.983 -42.368
94.849 36.859 -43.019
95.215 36.792 -42.673
95.581 36.868 -42.327
95.947 36.996 -42.983
96.313 36.997 -44.606
96.680 36.765 -46.070
97.046 36.387 -45.866
97.412 36.171 -43.410
97.778 36.416 -40.437
98.145 37.033 -39.823
98.511 37.623 -42.544
98.877 37.854 -47.423
99.243 37.586 -52.380
99.609 36.876 -54.974
99.976 36.062 -52.956
100.342 35.806 -46.643
100.708 36.443 -40.839
101.074 37.476 -39.412
101.440 38.326 -41.735
101.807 38.769 -45.552
102.173 38.827 -48.868
102.539 38.672 -50.372
102.905 38.554 -49.819
103.271 38.667 -48.269
103.638 39.003 -47.289
104.004 39.395 -47.644
104.370 39.689 -49.064
104.736 39.825 -50.857
105.103 39.824 -52.417
105.469 39.741 -53.456
105.835 39.628 -53.969
106.201 39.511 -54.051
106.567 39.404 -53.702
106.934 39.343 -52.866
107.300 39.386 -51.677
107.666 39.582 -50.649
108.032 39.903 -50.496
108.398 40.247 -51.646
108.765 40.486 -53.951
109.131 40.538 -56.781
109.497 40.388 -59.261
109.863 40.108 -60.581
110.229 39.848 -60.375
110.596 39.768 -59.130
110.962 39.917 -58.012
111.328 40.195 -57.973
111.694 40.446 -59.120
112.061 40.568 -60.893
112.427 40.544 -62.537
112.793 40.435 -63.492
113.159 40.337 -63.644
113.525 40.325 -63.362
113.892 40.405 -63.225
114.258 40.520 -63.597
114.624 40.601 -64.429
114.990 40.613 -65.375
115.356 40.574 -66.057
115.723 40.542 -66.335
116.089 40.573 -66.444
116.455 40.672 -66.859
116.821 40.778 -67.914
117.188 40.808 -69.515
117.554 40.711 -71.141
117.920 40.506 -72.101
118.286 40.299 -71.953
118.652 40.225 -70.943
119.019 40.346 -70.017
119.385 40.582 -70.091
119.751 40.786 -71.329
120.117 40.848 -73.179
120.483 40.750 -74.829
120.850 40.563 -75.668
121.216 40.393 -75.622
121.582 40.310 -75.146
121.948 40.300 -74.801
122.314 40.299 -74.765
122.681 40.263 -74.810
123.047 40.207 -74.638
123.413 40.175 -74.227
123.779 40.190 -73.848
124.146 40.227 -73.768
124.512 40.238 -73.970
124.878 40.203 -74.184
125.244 40.144 -74.137
125.610 40.109 -73.807
125.977 40.130 -73.440
126.343 40.192 -73.311
126.709 40.257 -73.488
127.075 40.300 -73.811
127.441 40.328 -74.074
127.808 40.366 -74.212
128.174 40.437 -74.341
128.540 40.539 -74.647
128.906 40.646 -75.250
129.272 40.726 -76.141
129.639 40.750 -77.180
130.005 40.702 -78.129
130.371 40.588 -78.677
130.737 40.446 -78.547
131.104 40.350 -77.698
131.470 40.364 -76.493
131.836 40.491 -75.587
132.202 40.653 -75.450
132.568 40.743 -76.007
132.935 40.695 -76.682
133.301 40.530 -76.739
133.667 40.354 -75.747
134.033 40.296 -73.994
134.399 40.404 -72.393
134.766 40.595 -71.728
135.132 40.735 -72.048
135.498 40.742 -72.768
135.864 40.621 -73.132
136.230 40.464 -72.667
136.597 40.382 -71.499
136.963 40.433 -70.268
137.329 40.580 -69.627
137.695 40.735 -69.782
138.062 40.825 -70.478
138.428 40.828 -71.264
138.794 40.770 -71.751
139.160 40.702 -71.765
139.526 40.676 -71.397
139.893 40.719 -70.921
140.259 40.820 -70.628
140.625 40.944 -70.667
140.991 41.051 -70.991
141.357 41.118 -71.403
141.724 41.149 -71.678
142.090 41.165 -71.672
142.456 41.195 -71.391
142.822 41.257 -70.967
143.188 41.349 -70.556
143.555 41.455 -70.248
143.921 41.558 -70.043
144.287 41.647 -69.873
144.653 41.724 -69.657
145.020 41.798 -69.357
145.386 41.883 -69.005
145.752 41.984 -68.715
146.118 42.089 -68.621
146.484 42.169 -68.765
146.851 42.192 -69.002
147.217 42.148 -69.002
147.583 42.077 -68.411
147.949 42.060 -67.144
148.315 42.176 -65.619
148.682 42.428 -64.579
149.048 42.730 -64.554
149.414 42.969 -65.485
149.780 43.071 -66.820
150.146 43.041 -67.856
150.513 42.957 -68.107
150.879 42.924 -67.615
151.245 43.003 -66.944
151.611 43.165 -66.726
151.978 43.318 -67.148
152.344 43.390 -67.872
152.710 43.375 -68.335
153.076 43.334 -68.130
153.442 43.358 -67.309
153.809 43.501 -66.376
154.175 43.738 -65.927
154.541 43.990 -66.224
154.907 44.182 -67.099
155.273 44.280 -68.149
155.640 44.296 -68.963
156.006 44.273 -69.301
156.372 44.264 -69.167
156.738 44.305 -68.775
157.104 44.401 -68.402
157.471 44.529 -68.237
157.837 44.662 -68.325
158.203 44.780 -68.608
158.569 44.871 -68.984
158.936 44.933 -69.353
159.302 44.970 -69.605
159.668 44.995 -69.642
160.034 45.031 -69.418
160.400 45.107 -69.009
160.767 45.238 -68.619
161.133 45.411 -68.485
161.499 45.592 -68.721
161.865 45.746 -69.240
162.231 45.859 -69.828
162.598 45.948 -70.301
162.964 46.041 -70.648
163.330 46.153 -71.025
163.696 46.269 -71.595
164.062 46.355 -72.356
164.429 46.389 -73.101
164.795 46.383 -73.559
165.161 46.381 -73.600
165.527 46.426 -73.361
165.894 46.533 -73.158
166.260 46.673 -73.236
166.626 46.807 -73.601
166.992 46.915 -74.081
167.358 47.007 -74.521
167.725 47.105 -74.924
168.091 47.213 -75.417
168.457 47.312 -76.093
168.823 47.378 -76.878
169.189 47.401 -77.557
